line,dag_mean,dag_std,ratio_act8_flc_mean,deltaC_mean_mean,deltaC_mean_std,deltaC_mean_count,C_mean_mean,C_mean_std,C_mean_count,deltaN_mean_mean,deltaN_mean_std,deltaN_mean_count,N_mean_mean,N_mean_std,N_mean_count,CN_ratio_mean,CN_ratio_std,CN_ratio_count,label,hsd_test_early_flow
COL,19.26388888888889,0.9235543313485152,0.9691640895127804,-31.14,0.2707397274136195,3,32.03333333333333,0.5033222956847169,3,3.043333333333333,0.40525712002793174,3,6.239999999999999,0.28618176042508386,3,5.13829433179875,0.15578022739344266,3,col,
ID4807-02-R05,22.09090909090909,1.0444659357341863,1.0028432843466997,-30.5,0.18357559750685673,3,32.93333333333334,0.20816659994660996,3,0.7666666666666666,0.3647373484212075,3,6.593333333333334,0.09291573243177563,3,4.995488405557637,0.06489239649329656,3,mut,
ID6138-09-R04,30.63636363636364,1.2060453783110547,13.941812535235885,-30.403333333333336,0.33201405592735667,3,33.63333333333333,0.15275252316519294,3,3.8699999999999997,0.9960421677820671,3,6.3566666666666665,0.22501851775650236,3,5.2950515613415075,0.17085918270742023,3,mut,
ID6413-10-R05,21.83333333333333,1.6422453217986948,2.617836919658964,-30.58666666666667,0.29143323992525877,3,33.53333333333333,0.8082903768654783,3,1.5,0.4670117771534246,3,6.590000000000001,0.19519221295943098,3,5.0906540176939385,0.1573199843117301,3,mut,
ID7186-01-R01,14.5,1.1677484162422844,0.3623379044942325,-31.376666666666665,0.030550504633039443,3,32.46666666666667,0.3511884584284206,3,3.796666666666667,0.3356088993655162,3,6.4366666666666665,0.08020806277010628,3,5.044307011658404,0.05826580623877035,3,mut,d
ID8234-01-R05,31.72727272727273,2.004540300962248,1.0385302138723942,-30.496666666666666,0.3150132272355131,3,32.56666666666666,0.757187779440039,3,3.953333333333333,0.1625833119767628,3,5.88,0.0916515138991172,3,5.538322923075086,0.07446039310192021,3,mut,
ID8283-01-R04,21.545454545454547,1.0357254813546268,1.2366010421786706,-31.319999999999997,0.5819793810780586,3,33.266666666666666,0.20816659994661338,3,1.0333333333333334,0.788056681548563,3,6.583333333333333,0.1450287327853811,3,5.054690726194191,0.10803459719925901,3,mut,
ID8369-04-R05,24.58333333333333,0.9962049198956208,1.3178628441125475,-31.006666666666664,0.10066445913694465,3,33.733333333333334,0.40414518843273795,3,4.52,0.6102458520956939,3,6.573333333333333,0.04932882862316244,3,5.132025319874196,0.07139784080588002,3,mut,
ID9079-02-R01,17.727272727272727,1.3483997249264823,0.7374522032464356,-30.546666666666667,0.361985266735171,3,33.699999999999996,0.3000000000000025,3,2.6633333333333336,0.11015141094572219,3,5.946666666666668,0.06658328118479372,3,5.667489125708197,0.07824437471040153,3,mut,bc
ID9102-01-R05,23.16666666666667,1.4668044012461756,0.7477458690498038,-30.62,0.34698703145795035,3,32.666666666666664,0.9712534856222336,3,3.64,0.4392038251199551,3,6.553333333333334,0.24664414311581292,3,4.98584172968198,0.05367298667207341,3,mut,
ID9111-02-R04,27.83333333333333,0.8348471099367203,0.0822352476363165,-30.873333333333335,0.04163331998932255,3,32.63333333333333,1.0408329997330654,3,4.046666666666667,0.40451617190581335,3,6.6933333333333325,0.45368858629387343,3,4.8978381623414995,0.4960877074668124,3,mut,
ID9323-12-R04,25.363636363636363,1.6895400127092153,18.303984808182573,-30.74,0.638513899613783,3,33.9,0.458257569495582,3,5.94,1.436802004452945,3,6.263333333333333,0.18502252115170584,3,5.41600872987281,0.19338449902153787,3,mut,
ID9402-01-R05,23.0,0.4472135954999579,11.715117715666068,-30.810000000000002,0.33645207682521416,3,32.86666666666667,0.20816659994661538,3,3.026666666666667,0.5632347053700912,3,6.550000000000001,0.14000000000000073,3,5.019088671868958,0.09305678282456495,3,mut,
ID9404-08-R03,28.75,1.0552897060221726,5.968706748171713,-30.633333333333336,0.03785938897200165,3,33.233333333333334,1.588500340992516,3,4.46,0.22912878474779205,3,6.066666666666667,0.16258331197676243,3,5.4775703643945475,0.20302150464588556,3,mut,
ID9407-04-R02,23.11111111111111,0.9279607271383368,0.008031925817915458,-31.143333333333334,0.04041451884327397,3,34.36666666666667,0.7371114795832012,3,3.3866666666666667,0.8558231904624538,3,6.28,0.43863424398922557,3,5.496605096677944,0.5198586770611215,3,mut,
ID9421-04-R02,35.833333333333336,3.9504506839170377,0.8859935029529629,-29.55,0.20074859899884837,3,33.06666666666667,0.2516611478423607,3,5.1066666666666665,0.5612783029240787,3,6.286666666666666,0.2482606157515393,3,5.266365676154659,0.24926283961283063,3,mut,
ID9569-11-R01,21.91666666666667,0.2886751345948127,0.0036388830888193758,-31.30666666666667,0.24664414311581342,3,32.400000000000006,0.4358898943540727,3,1.1733333333333333,0.15821925715074425,3,6.66,0.2497999199359359,3,4.870777624783351,0.2394385299905354,3,mut,
ID9582-01-R03,16.5,1.1677484162422849,3.3396807181190264,-30.080000000000002,0.3004995840263369,3,32.13333333333333,1.0016652800877808,3,3.9299999999999997,0.22068076490713887,3,6.34,0.27184554438136377,3,5.076646954918284,0.3254789051836857,3,mut,ab
ID9583-06-R04,18.25,0.4522670168666448,0.020275929712701573,-31.040000000000003,0.42532340636273647,3,32.2,0.4582575694955877,3,3.643333333333333,0.6715901527965797,3,6.746666666666666,0.29484459183327966,3,4.77698026517355,0.14936037482394499,3,mut,
ID9644-14-R02,18.90909090909091,1.0444659357341868,0.10949110835108317,-30.86,0.13114877048604073,3,33.199999999999996,0.7211102550928007,3,3.7399999999999998,0.13747727084867525,3,6.3066666666666675,0.2919474838619667,3,5.269513391120535,0.1880259525603381,3,mut,
ID9729-01-R05,29.0,0.8660254037844396,0.17748421369794076,-31.143333333333334,0.11150485789118617,3,33.50000000000001,0.7211102550927948,3,3.3699999999999997,1.1611632098891178,3,6.453333333333333,0.3412232895529454,3,5.199451035258597,0.2617299692702444,3,mut,
ID9736-05-R04,19.33333333333333,1.4974726182552531,0.008320963077557744,-31.16,0.16370705543744898,3,32.800000000000004,0.09999999999999876,3,3.046666666666667,0.5154932912592881,3,6.776666666666666,0.17953644012660358,3,4.842130790487372,0.11290848246324181,3,mut,
ID9738-01-R02,19.25,0.4522670168666448,0.0264567441086899,-31.146666666666665,0.10503967504392484,3,34.4,0.26457513110645914,3,2.9666666666666663,0.6058327602014713,3,6.426666666666667,0.14640127503998518,3,5.354534764608801,0.1281991936668722,3,mut,
ID9741-04-R05,21.0,0.953462589245592,0.0986991551069336,-30.986666666666668,0.07637626158259725,3,33.36666666666667,0.35118845842842406,3,0.25666666666666665,0.19035055380358978,3,6.760000000000001,0.11357816691600524,3,4.936303885084333,0.04337542688186546,3,mut,
ID9743-06-R03,19.33333333333333,0.4923659639173308,17.456924332996568,-30.80666666666666,0.13576941236277415,3,32.93333333333333,1.0016652800877812,3,0.4033333333333333,0.656835849610337,3,6.54,0.11000000000000054,3,5.036301212889257,0.16054687661030817,3,mut,
ID9755-05-R05,17.416666666666668,0.5149286505444375,0.8157395738578647,-31.340000000000003,0.22869193252058528,3,32.300000000000004,1.5588457268119906,3,3.7466666666666666,0.5750072463311515,3,6.076666666666667,0.24006943440041084,3,5.314316252954634,0.059994767512621686,3,mut,d
ID9848-05-R04,16.083333333333332,1.3789543689024488,16.518553865943108,-31.30333333333333,0.20599352740640617,3,32.266666666666666,0.503322295684716,3,3.91,0.2722131517763239,3,5.896666666666666,0.2742869543622759,3,5.482658334259624,0.34452926854445326,3,mut,d
