pk,name,country,latitude,longitude,collector,collection_date,cs_number,species
71,CAM-67,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
72,CAM-68,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
73,CAM-69,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
74,CAM-7,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
75,CAM-70,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
76,CAM-9,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
77,CLA-7,France,48.8,2.26667,Valerie Le Corre,,,Arabidopsis thaliana
78,CLE-6,France,48.9167,-0.483333,Valerie Le Corre,,,Arabidopsis thaliana
79,CUR-10,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
80,CUR-2,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
81,CUR-3,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
82,CUR-4,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
83,CUR-5,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
84,CUR-6,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
85,CUR-7,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
86,CUR-8,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
87,CUR-9,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
88,CYR,France,47.4,0.683333,Valerie Le Corre,,CS76790,Arabidopsis thaliana
89,DAM1,France,48.7,1.98333,Valerie Le Corre,,,Arabidopsis thaliana
90,DAM2,France,48.7,1.98333,Valerie Le Corre,,,Arabidopsis thaliana
91,JEA,France,43.6833,7.33333,Valerie Le Corre,,,Arabidopsis thaliana
92,LAC-1,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
93,LAC-2,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
94,LAC-3,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
95,LAC-4,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
96,LAC-5,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
97,LAC-6,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
98,LAC-7,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
99,LDV-1,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
100,LDV-10,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
101,LDV-11,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
102,LDV-12,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
103,LDV-13,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
104,LDV-14,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
105,LDV-15,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
106,LDV-16,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
107,LDV-17,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
108,LDV-18,France,48.5167,-4.06667,Valerie Le Corre,,CS77013,Arabidopsis thaliana
109,LDV-19,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
110,LDV-2,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
111,LDV-20,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
112,LDV-21,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
113,LDV-22,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
114,LDV-23,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
115,LDV-24,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
116,LDV-25,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
117,LDV-26,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
118,LDV-27,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
119,LDV-28,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
120,LDV-29,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
121,LDV-3,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
122,LDV-30,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
123,LDV-31,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
124,LDV-32,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
125,LDV-33,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
126,LDV-34,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
127,LDV-35,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
128,LDV-36,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
129,LDV-37,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
130,LDV-38,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
131,LDV-39,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
132,LDV-4,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
133,LDV-40,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
134,LDV-41,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
135,LDV-42,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
136,LDV-43,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
137,LDV-44,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
138,LDV-45,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
139,LDV-46,France,48.5167,-4.06667,Valerie Le Corre,,CS77014,Arabidopsis thaliana
140,LDV-48,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
141,LDV-49,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
142,LDV-5,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
143,LDV-50,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
144,LDV-51,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
145,LDV-52,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
146,LDV-53,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
147,LDV-54,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
148,LDV-57,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
149,LDV-58,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
150,LDV-59,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
151,LDV-6,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
152,LDV-64,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
153,LDV-68,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
154,LDV-69,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
155,LDV-7,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
156,LDV-70,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
157,LDV-8,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
158,LDV-9,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
159,MAR2-3,France,47.35,3.93333,Valerie Le Corre,,CS77070,Arabidopsis thaliana
160,MIB-1,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
161,MIB-10,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
162,MIB-100,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
163,MIB-11,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
164,MIB-13,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
165,MIB-14,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
166,MIB-15,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
167,MIB-16,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
168,MIB-17,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
169,MIB-19,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
170,MIB-2,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
171,MIB-20,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
172,MIB-21,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
173,MIB-22,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
174,MIB-23,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
175,MIB-24,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
176,MIB-25,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
177,MIB-27,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
178,MIB-28,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
179,MIB-29,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
180,MIB-3,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
181,MIB-30,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
182,MIB-31,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
183,MIB-32,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
184,MIB-33,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
185,MIB-34,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
186,MIB-35,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
187,MIB-36,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
188,MIB-37,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
189,MIB-38,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
190,MIB-39,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
191,MIB-40,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
192,MIB-41,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
193,MIB-42,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
194,MIB-43,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
195,MIB-44,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
196,MIB-47,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
197,MIB-49,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
198,MIB-50,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
199,MIB-51,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
200,MIB-54,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
201,MIB-55,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
202,MIB-57,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
203,MIB-58,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
204,MIB-60,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
205,MIB-61,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
206,MIB-62,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
207,MIB-63,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
208,MIB-64,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
209,MIB-66,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
210,MIB-67,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
211,MIB-68,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
