"","id","FT16","DSDS10","X116_DTFplantingSummerLocSweden2009","X120_DTFplantingLoc2008","Average_root_width_day001","Relative_root_growth_rate_day001.day002","Relative_root_growth_rate_day004.day005","Root_angle_day001","Root_angle_day003","Root_directional_equivalent_day002","Root_growth_rate_avg","Root_horizontal_index_day001","Root_linearity_day001","Root_linearity_day002","Root_linearity_day003","Root_tortuosity_day003","Root_tortuosity_day004","Root_width_100_day004","Root_width_100_day005","Root_width_40_avg","FT_mlp","FT_tli","FT_tlp","RosetteArea_mild_drought","RosetteArea_well_watered","StomatalIndex_mild_drought","StomatalIndex_well_watered","RGRav","RGRbv","leucine_exp1","rhamnose_1_exp2","Delta_13C","stomata_density","stomatasize","First_leaf_area","Stomatal_density_in_cotyledon","Stomatal_density_in_first_leaf","Stomatal_index_in_first_leaf","X106_Secondary_Dormancy","X29_FLC","X32_FT_Duration_GH","X39_After_Vern_Growth","X45_Germ_22","X59_Germ_10","X6_Leaf_serr_10","X60_Germ_16","X68_Germ_in_dark","X69_FRI","X72_Vern_Growth","X77_Trichome_avg_JA","X90_Seedling_Growth","X92_Leaf_serr_22","X94_Seed_Dormancy","X294_Germination_rate_21C","Germination_10C","Germination_22C","Germination_30C","d8_10C_perc","DTgerm","germination_3days","Growth_rate","RGR","ABA_96h_low_water_potential","drought_index"
"1",159,-0.681586885467094,-0.0399498138235947,-0.0268125438277458,0.0979782071738082,0.0345331192281842,-0.638022490027993,-0.260922358749627,-0.167508343807391,-0.523833219753018,-0.0301590316796212,-0.158481581679048,0.252393820415219,-0.494088741437408,-0.22046098312274,-0.00911454934979288,-0.270331968115078,-0.127693640444823,0.578559740286561,-0.0682306849740092,-0.378174655724243,0.54629963625873,0.00390574793788295,0.32542840005083,-0.687932171544894,-0.197922724210329,1.28763973367908,1.53559667911807,0.211969320111652,-0.0442606092705581,0.572620150528331,0.949620354515607,-0.173475379260045,0.132719546142462,0.109755437483398,-1.10446470655872,2.47490559550965,0.679017493868498,-0.410317143929488,0.463094596055256,-1.61581741570584,-1.11766975496483,-0.0912583067495091,-0.71773591351302,-0.645673639349876,0.592254844016498,-0.199497650483455,-0.865445630095704,-0.898704511646561,-0.848460010172872,-0.309279635891586,-0.538576424387429,-0.00823524198006215,-1.14014277549457,1.03792206076943,0.118834733956203,-0.0126783291672155,0.848345936360452,1.2331626824803,-0.359416964359798,0.30844201333473,-0.497870715809146,0.00914132332743134,-0.223613688269447,-2.54088636905889
"2",265,-1.05043355475407,0.740798043144712,-0.124034409466233,-0.0218607443837893,-0.0260491209092394,-0.125250058896754,-0.286217936824522,-0.760181901246942,-0.316290728576506,-0.195568929924097,-0.226805935363468,-0.0495313696444401,0.0838579624561323,-0.676051165093986,-0.0753573406319017,-0.170481346233069,-0.307299995002687,-0.330531137327188,0.0602712811732404,-0.363812610892636,-1.1180919206594,-0.288535943192425,0.562955951443468,-1.64787014742219,-0.074938487992121,0.567754705659672,0.64367496124408,0.123957508065909,-0.0798241616085366,-0.323956532784945,0.0469657701693774,-0.374239961009278,-0.321298147165511,0.319323204794263,-0.988170803478979,-0.563136930329706,-0.224409866839054,-0.50467368291075,-0.732989161023908,-0.582136986050326,-1.28660001398594,0.0862183783448076,-0.534142869410764,-1.02791654459768,0.338796937527802,-0.466358143987301,0.197908277323158,-1.14287046101837,-0.415163608243067,-0.536561331787942,-0.690961446068766,0.320536046371276,1.18639843163078,0.147697535263622,0.404794120137628,-0.0736573077031933,-0.407745983321892,-1.15364663360551,0.796328133651406,1.11975290814403,-1.57062754653336,-0.196256825529343,0.218116850170457,1.51380972260857
"3",403,-0.778651798437351,-0.279255724660826,0.0191305328833694,0.132898783768053,-0.0864876982921819,-0.42014010143873,-0.0472788098088805,-0.345368862285907,-0.501223816719265,0.0753131177924097,-0.176369309711892,0.281641989463256,-0.506983877095462,-0.13281386183056,-0.142647689965579,-0.168605535989653,-0.273228484060859,0.35270201563274,0.0187021626617533,-0.039642633700957,-1.22211639296679,-0.493681614546335,0.206664624354511,-1.03918808264983,-0.00138465232840071,1.36200072841827,0.71130876841437,0.226349373458867,0.0300811915606947,0.847711144264644,1.1625884619053,-0.458694039139832,-0.0641128948541709,-0.0924978145200484,-0.876552032181339,1.68306451283821,0.614901695207107,0.148550887133383,0.0873581598133543,-1.3357931681033,-1.02613338604235,-0.287348793243538,-0.289352143941092,-0.49865713733149,0.237413774932324,-0.288451148318072,-0.449955342189261,-0.972551407226456,-0.80260286976782,-0.207821086843452,-0.333651037751791,0.106834708942906,-0.981213964381641,1.24590290453245,0.0803296451081525,-0.105644473769425,0.430422183582366,1.63824465581082,-0.359416964359798,0.691318210473383,-0.430769411437799,0.229793892578781,-0.655751741583828,-1.27585575362493
"4",763,-1.37074776755591,0.469795123325431,0.00242520288333993,-0.203069696797418,0.0126136304339025,-0.317955705000612,-0.264463621395014,-0.522938607737963,-0.0273128342501593,-0.209599065023229,-0.2483494683671,0.0597028655828179,-0.0922620081908755,-0.402516348829135,-0.114077098228215,0.194045932862758,-0.13617801531642,0.0343467509258178,-0.0059529771250467,-0.15378155716809,-0.385024164272925,0.475304301870298,0.919247278532426,-1.08268113250017,-0.666617352549938,1.00567952146817,1.20494733350484,-0.190023759109239,-0.0994320918569533,-0.202858859402069,0.412326998411242,-0.238800732868334,-0.179734898065021,0.249182697279598,-0.895836950782502,0.640789919283247,0.265398015259424,0.0208820933504917,-0.743272201963086,-0.756800199956398,-1.14054240268194,-0.629177521924624,-0.71773591351302,-0.439850536524134,0.406385712591455,-0.288451148318072,0.0521539514706479,-0.995991815524588,-0.761009538048812,-0.421465880986027,-0.617840710913496,0.205466095448308,0.424128763515074,-0.110311269003339,0.551013193373802,0.154229275155943,-0.56975608819137,-0.783999901140545,-0.359416964359798,0.632113482012923,-1.47572750694436,0.346840542516396,0.159473430466901,-1.5096487368294
"5",765,-1.46134168619873,0.271029552938741,-0.250990561232565,-0.241247289692448,-0.057834587816304,0.0613696699576666,0.0801951269333769,-0.480211893330531,0.167844945566624,-0.145056172862571,-0.242526200789958,-0.271949877100439,0.120715879510331,-0.758080664512253,-0.184415908661288,-0.167843018124178,-0.303960449750275,-0.0591127024528001,0.0646954685289291,-0.256521971299883,-1.67288910907277,0.288241387384406,-0.102121192455921,-1.15336814888883,-0.262287997295396,0.637957592470046,0.347199502979214,-0.243205560070927,-0.285912603453366,0.260580413749719,0.0792036640752174,-0.12027278588819,-0.011200676955924,0.219312798122997,-0.809931404286411,-0.381086913254936,-0.729264250556027,-0.868741117367142,-0.817394257029504,-0.276974106624795,-0.95973588850311,0.16143753783709,-0.472945188043347,-0.410447236120458,0.440180100123281,-0.555311641821914,-0.148022877180569,-0.874217005663635,-0.221614428260915,-0.149818798050702,-0.15601738985359,0.205466095448308,0.931082239703994,-0.420418105933885,0.0321068208121581,-0.856783621435107,-0.618236395833766,-1.81427586656504,-0.359416964359798,0.184062331695108,-1.42245289175104,-0.0560271776163582,-0.0444179023075325,0.461529861255929
"6",766,-1.26397636328863,0.599834647445076,-0.204654202097272,-0.218068092418,-0.125591376018221,0.101972852517629,0.120664789802578,-0.545208268622106,0.194515208651632,-0.111440627689278,-0.110931141351459,0.0769186799653433,-0.104901555898585,-0.646568661012021,0.291946227335729,-0.156939446990467,-0.316814828010321,-0.303874708191613,0.247860435822593,-0.0473696611141156,-0.754039111411455,-1.40156030664396,-1.33726445969764,-1.01860546676753,-0.0409553953912367,0.331606768548477,0.69387679949012,0.120104619501154,-0.148361801302989,-0.197075964586439,-0.0617887602452117,-0.573972519052977,-0.252986437606131,0.339587950381672,-0.680780888805895,-0.196487176053069,-0.0918944419966546,-0.725515331494144,-0.480955752757296,-0.981318348493805,-1.18426212422035,-0.639392542221804,-0.71773591351302,-0.998513244194003,0.321899743761889,-0.733218637491143,0.0227934168343149,-1.32859775605799,-0.976782759146071,-0.0558150886279696,-0.730825298926164,0.336974610788843,0.578642885430419,0.278268396045635,-0.129623718491471,-0.06579557818426,-0.50665417205827,-0.0483443149780163,-0.083964382667131,0.948251095688944,-1.24803522221721,0.871941170810767,-0.162997346093264,-3.05225295399829
"7",768,0.153171366077111,-0.366387665108003,-0.0458056218113576,-0.31511582079175,-0.00632908200741588,-0.135989551279689,-0.139080574840998,-0.456889295319657,0.0994821685318493,0.0206065799617777,-0.185989856236053,0.140057340146128,-0.270785708758469,0.0869175648264853,-0.06687369763453,-0.410625492253786,-0.242568304116945,-0.0151815811731176,4.7677193388065e-05,-0.287750850014896,-0.507815019230073,0.00390574793788295,0.0879008486581922,-0.221621703134474,-0.259822142893859,0.32207373820908,0.973624512383499,-0.0852769219718967,-0.060395017166617,-0.03007623317108,0.181019372769021,-0.280872405848572,-0.414991241618487,0.589010476450037,-0.565655768671679,0.0845939707581731,-0.106126662351088,-0.0885241445005486,-1.12094685010579,-0.37191769129383,-0.340836757002379,-0.044332533734308,-0.595340550778184,-0.292834034505749,0.440180100123281,-0.288451148318072,0.612034130275983,-0.650085083514124,-0.508776580830504,-0.193820534376237,-0.750556026436857,0.205466095448308,0.123194116546615,0.420788835570468,0.436424924930242,0.504983990211508,-0.25641508896656,0.0776124984340366,-0.168719023187949,-0.414523770458545,-0.566595130172428,0.153277477432819,-0.107143230575143,-0.549461256397084
"8",772,-1.19603092420945,0.794388161978686,-0.456219330168243,-0.155054091657158,0.0150347814855073,0.166790526945713,-0.0447995948920905,-0.62970948504424,0.299768060092847,-0.0948257840266669,-0.210079536961508,-0.0530984034043666,0.145976703144839,-0.562303854494726,0.311435191461772,0.15292513742899,-0.0951684761134307,-0.0520615505019975,-0.00522589209352408,-0.090917393594844,-0.82682339819873,-0.871548711235805,-0.941385199458986,-0.920586275528297,-0.246978971511585,-0.0497381492054804,0.191849558871799,-0.0722663718682285,0.0215046446333896,-0.158872539239692,-0.131123136621489,-0.48590979629045,-0.452590139539357,0.165022074883808,-0.611822695019918,-0.186237301142137,-0.646561596954179,-0.288904966530657,-0.861281038873365,-0.481562347852944,-0.746694484582419,-0.258042647604662,-0.595340550778184,-0.969109943790326,0.423282906357367,-0.64426513965653,0.175411157766249,-1.18592406930472,-0.962386619298989,-0.168364984435845,-0.555855514899702,0.304097481953709,0.808942505237578,0.278111102426065,-0.27185288374338,-0.645320166540527,-0.541122589961973,-0.0559413652060205,0.208439127129703,0.444762144411755,-1.54424517726307,1.1000177614301,-0.183406888913528,-0.887955698474193
"9",801,0.541431017958137,-0.618307546192821,0.0929657584047288,0.0296717375669315,-0.0623266983776689,0.0150494910386591,-0.00361400852092403,-0.153128933316002,-0.0944277531038116,0.0884342393311764,0.337947512303669,-0.0206900315233776,0.357728480599611,0.592961744323957,0.223909774900338,-0.101690412550981,-0.161818654886971,0.233548329444761,-0.0371093591072626,-0.00519166860758378,0.130201747029197,0.306947673595235,0.230417379493774,1.20512204465809,0.434449930341541,-0.446362385168135,-0.541706012131064,-0.282127796361942,-0.100542342049795,-0.300354989907437,-0.248479764879921,0.42777642805881,0.377130252012912,-0.290613244384536,0.653384843510933,-0.0919486508420678,0.849662523988821,0.611878695034222,-0.359924337126756,0.661802960172606,1.11635639984218,-0.385297184360838,0.261426988365671,0.530458376797215,-0.607445913363329,-0.377404646152684,0.349549072164884,1.18344260735931,0.286995766410433,-0.0218137469218739,0.567241746708126,-0.189059450573299,-0.586835062731045,-0.131726575796627,0.128768659960698,0.465725790306897,-0.450824168208107,0.263597546990804,-0.324744611419462,-0.558235608330154,0.785588699300435,-0.670146097870057,-0.245519930896537,0.563855020584144
"10",915,-1.19603092420945,-0.0813419809566053,-0.0314216148569389,0.00939132133502531,0.201066512515507,-0.168919448648395,-0.219595492624708,-0.653544321999795,-0.02818883693699,-0.0220896476330968,-0.19326456821751,0.182859942826487,-0.385824270290165,0.0398436276259962,-0.136255048307758,-0.0817494025213921,-0.193742153643532,-0.351507886211676,-0.227730797204815,-0.227529104481517,0.65725907061262,0.456598015659473,0.32542840005083,-0.883557386741579,0.111310379018174,0.0593810721917975,2.28902375572984,0.147969944001729,-0.00584542096948419,-0.257870922920578,0.237427722075812,-0.409024880773085,-0.477778275511132,0.674617455004782,-1.29848267551588,-0.0469205933975218,0.0105633831419794,-0.478294435453624,-0.969691252819345,-1.2995935382782,-1.03586353242802,-0.466814611672168,-0.534142869410764,-0.998513244194003,0.524666068952846,-0.466358143987301,0.505891225728385,-0.820440586908989,-0.678403363828921,-0.557107597096972,-0.55739330200137,0.254781788701008,0.262256826270426,0.483370490727226,0.838194728469392,0.733131865209715,0.522646808642795,0.132201742039278,-0.2560419861488,-0.244230217767955,-0.572293163914012,0.258338740498253,0.0198721575762972,-0.6138764827713
