id,latitude,longitude
1,45.2667,1.48333
2,45.2667,1.48333
4,45.2667,1.48333
5,45.2667,1.48333
6,45.2667,1.48333
7,45.2667,1.48333
8,45.2667,1.48333
9,45.2667,1.48333
12,45.2667,1.48333
23,48.2667,-4.58333
32,48.2667,-4.58333
45,48.2667,-4.58333
48,48.2667,-4.58333
51,48.2667,-4.58333
60,48.2667,-4.58333
62,48.2667,-4.58333
66,48.2667,-4.58333
69,48.2667,-4.58333
74,48.2667,-4.58333
77,48.8,2.26667
79,45,1.75
80,45,1.75
81,45,1.75
82,45,1.75
83,45,1.75
84,45,1.75
85,45,1.75
86,45,1.75
87,45,1.75
88,47.4,0.683333
89,48.7,1.98333
91,43.6833,7.33333
94,47.7,6.81667
96,47.7,6.81667
104,48.5167,-4.06667
106,48.5167,-4.06667
108,48.5167,-4.06667
116,48.5167,-4.06667
121,48.5167,-4.06667
122,48.5167,-4.06667
123,48.5167,-4.06667
126,48.5167,-4.06667
137,48.5167,-4.06667
139,48.5167,-4.06667
146,48.5167,-4.06667
148,48.5167,-4.06667
149,48.5167,-4.06667
151,48.5167,-4.06667
153,48.5167,-4.06667
156,48.5167,-4.06667
157,48.5167,-4.06667
159,47.35,3.93333
160,47.3833,5.31667
162,47.3833,5.31667
163,47.3833,5.31667
165,47.3833,5.31667
166,47.3833,5.31667
167,47.3833,5.31667
168,47.3833,5.31667
169,47.3833,5.31667
170,47.3833,5.31667
171,47.3833,5.31667
173,47.3833,5.31667
174,47.3833,5.31667
175,47.3833,5.31667
178,47.3833,5.31667
179,47.3833,5.31667
183,47.3833,5.31667
184,47.3833,5.31667
185,47.3833,5.31667
186,47.3833,5.31667
187,47.3833,5.31667
188,47.3833,5.31667
190,47.3833,5.31667
191,47.3833,5.31667
194,47.3833,5.31667
196,47.3833,5.31667
198,47.3833,5.31667
200,47.3833,5.31667
201,47.3833,5.31667
202,47.3833,5.31667
203,47.3833,5.31667
204,47.3833,5.31667
205,47.3833,5.31667
206,47.3833,5.31667
207,47.3833,5.31667
208,47.3833,5.31667
210,47.3833,5.31667
