"trait","fitness","env","mean.x","se.x","signi.x","param.x","lower.x","upper.x","mean.y","se.y","signi.y","param.y","lower.y","upper.y"
"FloweringTime","rSeeds","mli",-0.022,0.06,"ns","beta",-0.1396,0.0956,0.068,0.039,"***","s",-0.00843999999999999,0.14444
"FloweringTime","rSeeds","mlp",-0.006,0.033,"ns","beta",-0.07068,0.05868,0.04,0.02,"*","s",0.000800000000000002,0.0792
"FloweringTime","rSeeds","thi",0.021,0.014,"ns","beta",-0.00644,0.04844,-0.062,0.008,"***","s",-0.07768,-0.04632
"FloweringTime","rSeeds","thp",0.038,0.014,"***","beta",0.01056,0.06544,-0.06,0.01,"***","s",-0.0796,-0.0404
"FloweringTime","rSurvival_fruit","mli",0.19,0.066,"***","beta",0.06064,0.31936,-0.087,0.034,"**","s",-0.15364,-0.02036
"FloweringTime","rSurvival_fruit","mlp",0.357,0.129,"***","beta",0.10416,0.60984,-0.085,0.074,"ns","s",-0.23004,0.06004
"FloweringTime","rSurvival_fruit","thi",-0.008,0.01,"ns","beta",-0.0276,0.0116,-0.007,0.006,"ns","s",-0.01876,0.00476
"FloweringTime","rSurvival_fruit","thp",0.015,0.023,"ns","beta",-0.03008,0.06008,-0.022,0.012,"*","s",-0.04552,0.00152
"GerminationPerc","rFitness","mli",0.004,0.046,"ns","beta",-0.08616,0.09416,-0.012,0.043,"ns","s",-0.09628,0.07228
"GerminationPerc","rFitness","mlp",0.159,0.083,"*","beta",-0.00368000000000002,0.32168,0.037,0.076,"ns","s",-0.11196,0.18596
"GerminationPerc","rFitness","thi",-0.002,0.011,"ns","beta",-0.02356,0.01956,-0.014,0.011,"ns","s",-0.03556,0.00756
"GerminationPerc","rFitness","thp",-0.013,0.018,"ns","beta",-0.04828,0.02228,-0.037,0.017,"*","s",-0.07032,-0.00368
"GerminationPerc","rSeeds","mli",0.046,0.032,"ns","beta",-0.01672,0.10872,0.076,0.029,"***","s",0.01916,0.13284
"GerminationPerc","rSeeds","mlp",0.097,0.025,"***","beta",0.048,0.146,0.093,0.026,"***","s",0.04204,0.14396
"GerminationPerc","rSeeds","thi",-0.013,0.008,"ns","beta",-0.02868,0.00268,-0.018,0.009,"*","s",-0.03564,-0.000359999999999999
"GerminationPerc","rSeeds","thp",-0.01,0.01,"ns","beta",-0.0296,0.0096,-0.017,0.01,"***","s",-0.0366,0.0026
"GerminationPerc","rSurvival_fruit","mli",-0.041,0.039,"ns","beta",-0.11744,0.03544,-0.106,0.037,"**","s",-0.17852,-0.03348
"GerminationPerc","rSurvival_fruit","mlp",0.04,0.083,"ns","beta",-0.12268,0.20268,-0.07,0.062,"ns","s",-0.19152,0.05152
"GerminationPerc","rSurvival_fruit","thi",0.009,0.006,"*","beta",-0.00276,0.02076,0.004,0.006,"ns","s",-0.00776,0.01576
"GerminationPerc","rSurvival_fruit","thp",0.002,0.017,"ns","beta",-0.03132,0.03532,-0.019,0.013,"ns","s",-0.04448,0.00648
"GrowthRate","rFitness","mli",-0.209,0.078,"***","beta",-0.36188,-0.05612,-0.185,0.04,"***","s",-0.2634,-0.1066
"GrowthRate","rFitness","mlp",-0.427,0.16,"**","beta",-0.7406,-0.1134,-0.214,0.092,"*","s",-0.39432,-0.03368
"GrowthRate","rFitness","thi",0.013,0.019,"ns","beta",-0.02424,0.05024,-0.078,0.011,"***","s",-0.09956,-0.05644
"GrowthRate","rFitness","thp",-0.001,0.029,"ns","beta",-0.05784,0.05584,-0.11,0.016,"***","s",-0.14136,-0.07864
"GrowthRate","rSeeds","mli",-0.037,0.056,"ns","beta",-0.14676,0.07276,0.085,0.031,"***","s",0.02424,0.14576
"GrowthRate","rSeeds","mlp",-0.052,0.035,"*","beta",-0.1206,0.0166,0.048,0.02,"*","s",0.0088,0.0872
"GrowthRate","rSeeds","thi",0.02,0.016,"ns","beta",-0.01136,0.05136,-0.074,0.009,"***","s",-0.09164,-0.05636
"GrowthRate","rSeeds","thp",-0.002,0.018,"ns","beta",-0.03728,0.03328,-0.077,0.009,"***","s",-0.09464,-0.05936
"GrowthRate","rSurvival_fruit","mli",-0.206,0.052,"***","beta",-0.30792,-0.10408,-0.219,0.032,"***","s",-0.28172,-0.15628
"GrowthRate","rSurvival_fruit","mlp",-0.441,0.133,"***","beta",-0.70168,-0.18032,-0.31,0.063,"***","s",-0.43348,-0.18652
"GrowthRate","rSurvival_fruit","thi",-0.006,0.009,"ns","beta",-0.02364,0.01164,-0.005,0.005,"ns","s",-0.0148,0.0048
"GrowthRate","rSurvival_fruit","thp",0.011,0.028,"ns","beta",-0.04388,0.06588,-0.033,0.012,"***","s",-0.05652,-0.00948
"RGR","rFitness","mli",-0.068,0.046,"ns","beta",-0.15816,0.02216,0.045,0.036,"ns","s",-0.02556,0.11556
"RGR","rFitness","mlp",-0.121,0.105,"ns","beta",-0.3268,0.0848,0.019,0.094,"ns","s",-0.16524,0.20324
"RGR","rFitness","thi",0.01,0.014,"ns","beta",-0.01744,0.03744,0.065,0.011,"***","s",0.04344,0.08656
"RGR","rFitness","thp",0.014,0.023,"ns","beta",-0.03108,0.05908,0.089,0.018,"***","s",0.05372,0.12428
"RGR","rSeeds","mli",-0.01,0.042,"ns","beta",-0.09232,0.07232,-0.078,0.029,"***","s",-0.13484,-0.02116
"RGR","rSeeds","mlp",-0.047,0.022,"*","beta",-0.09012,-0.00388,-0.069,0.019,"***","s",-0.10624,-0.03176
"RGR","rSeeds","thi",0.012,0.012,"ns","beta",-0.01152,0.03552,0.063,0.009,"***","s",0.04536,0.08064
"RGR","rSeeds","thp",0.025,0.014,"*","beta",-0.00244,0.05244,0.071,0.012,"***","s",0.04748,0.09452
"RGR","rSurvival_fruit","mli",-0.028,0.04,"ns","beta",-0.1064,0.0504,0.114,0.035,"***","s",0.0454,0.1826
"RGR","rSurvival_fruit","mlp",-0.011,0.098,"ns","beta",-0.20308,0.18108,0.156,0.077,"***","s",0.00508,0.30692
"RGR","rSurvival_fruit","thi",-0.001,0.007,"ns","beta",-0.01472,0.01272,0.003,0.005,"ns","s",-0.0068,0.0128
"RGR","rSurvival_fruit","thp",-0.013,0.016,"ns","beta",-0.04436,0.01836,0.021,0.013,"*","s",-0.00448,0.04648
"RootHorizIndex","rFitness","mli",0.079,0.076,"ns","beta",-0.06996,0.22796,-0.005,0.048,"ns","s",-0.09908,0.08908
"RootHorizIndex","rFitness","mlp",-0.119,0.104,"ns","beta",-0.32284,0.08484,-0.029,0.068,"ns","s",-0.16228,0.10428
"RootHorizIndex","rFitness","thi",-0.003,0.014,"ns","beta",-0.03044,0.02444,0,0.009,"ns","s",-0.01764,0.01764
"RootHorizIndex","rFitness","thp",-0.045,0.017,"**","beta",-0.07832,-0.01168,-0.028,0.013,"**","s",-0.05348,-0.00252
"RootHorizIndex","rSeeds","mli",0.046,0.05,"ns","beta",-0.052,0.144,0.055,0.028,"*","s",0.000120000000000002,0.10988
"RootHorizIndex","rSeeds","mlp",0.011,0.029,"ns","beta",-0.04584,0.06784,0.031,0.027,"ns","s",-0.02192,0.08392
"RootHorizIndex","rSeeds","thi",0.002,0.011,"ns","beta",-0.01956,0.02356,0.006,0.006,"ns","s",-0.00576,0.01776
"RootHorizIndex","rSeeds","thp",0.002,0.012,"ns","beta",-0.02152,0.02552,0.002,0.007,"ns","s",-0.01172,0.01572
"RootHorizIndex","rSurvival_fruit","mli",0.018,0.049,"ns","beta",-0.07804,0.11404,-0.056,0.034,"*","s",-0.12264,0.01064
"RootHorizIndex","rSurvival_fruit","mlp",-0.092,0.14,"ns","beta",-0.3664,0.1824,-0.045,0.059,"ns","s",-0.16064,0.07064
"RootHorizIndex","rSurvival_fruit","thi",-0.007,0.007,"ns","beta",-0.02072,0.00672,-0.006,0.006,"ns","s",-0.01776,0.00576
"RootHorizIndex","rSurvival_fruit","thp",-0.046,0.02,"***","beta",-0.0852,-0.0068,-0.03,0.014,"***","s",-0.05744,-0.00256
"RootRGR","rFitness","mli",0.157,0.069,"**","beta",0.02176,0.29224,0.056,0.053,"ns","s",-0.04788,0.15988
"RootRGR","rFitness","mlp",-0.094,0.154,"ns","beta",-0.39584,0.20784,-0.026,0.073,"ns","s",-0.16908,0.11708
"RootRGR","rFitness","thi",-0.003,0.021,"ns","beta",-0.04416,0.03816,-0.01,0.01,"ns","s",-0.0296,0.0096
"RootRGR","rFitness","thp",-0.02,0.021,"ns","beta",-0.06116,0.02116,-0.013,0.011,"ns","s",-0.03456,0.00856
"RootRGR","rSeeds","mli",0.015,0.035,"ns","beta",-0.0536,0.0836,-0.009,0.015,"ns","s",-0.0384,0.0204
"RootRGR","rSeeds","mlp",0.017,0.033,"ns","beta",-0.04768,0.08168,0.015,0.027,"ns","s",-0.03792,0.06792
"RootRGR","rSeeds","thi",-0.01,0.016,"ns","beta",-0.04136,0.02136,-0.02,0.007,"***","s",-0.03372,-0.00628
"RootRGR","rSeeds","thp",0.001,0.009,"ns","beta",-0.01664,0.01864,-0.014,0.005,"***","s",-0.0238,-0.0042
"RootRGR","rSurvival_fruit","mli",0.117,0.038,"***","beta",0.04252,0.19148,0.067,0.049,"*","s",-0.02904,0.16304
"RootRGR","rSurvival_fruit","mlp",-0.069,0.096,"ns","beta",-0.25716,0.11916,-0.055,0.044,"ns","s",-0.14124,0.03124
"RootRGR","rSurvival_fruit","thi",0.005,0.007,"ns","beta",-0.00872,0.01872,0.008,0.005,"*","s",-0.0018,0.0178
"RootRGR","rSurvival_fruit","thp",-0.021,0.023,"ns","beta",-0.06608,0.02408,0.002,0.012,"ns","s",-0.02152,0.02552
"StomataDensity","rFitness","mli",-0.038,0.058,"ns","beta",-0.15168,0.07568,-0.051,0.044,"ns","s",-0.13724,0.03524
"StomataDensity","rFitness","mlp",0.073,0.073,"ns","beta",-0.07008,0.21608,0.014,0.063,"ns","s",-0.10948,0.13748
"StomataDensity","rFitness","thi",-0.025,0.01,"**","beta",-0.0446,-0.0054,-0.045,0.009,"***","s",-0.06264,-0.02736
"StomataDensity","rFitness","thp",-0.034,0.018,"ns","beta",-0.06928,0.00128,-0.059,0.016,"***","s",-0.09036,-0.02764
"StomataDensity","rSeeds","mli",0.021,0.052,"ns","beta",-0.08092,0.12292,0.039,0.036,"ns","s",-0.03156,0.10956
"StomataDensity","rSeeds","mlp",0.064,0.023,"***","beta",0.01892,0.10908,0.048,0.018,"***","s",0.01272,0.08328
"StomataDensity","rSeeds","thi",-0.023,0.007,"***","beta",-0.03672,-0.00928,-0.041,0.01,"***","s",-0.0606,-0.0214
"StomataDensity","rSeeds","thp",-0.013,0.011,"ns","beta",-0.03456,0.00856,-0.03,0.01,"***","s",-0.0496,-0.0104
"StomataDensity","rSurvival_fruit","mli",-0.034,0.038,"ns","beta",-0.10848,0.04048,-0.059,0.033,"*","s",-0.12368,0.00568
"StomataDensity","rSurvival_fruit","mlp",-0.06,0.069,"ns","beta",-0.19524,0.07524,-0.08,0.054,"*","s",-0.18584,0.02584
"StomataDensity","rSurvival_fruit","thi",-0.003,0.009,"ns","beta",-0.02064,0.01464,-0.006,0.007,"ns","s",-0.01972,0.00772
"StomataDensity","rSurvival_fruit","thp",-0.019,0.015,"ns","beta",-0.0484,0.0104,-0.028,0.012,"***","s",-0.05152,-0.00448
"StomataSize","rFitness","mli",-0.035,0.05,"ns","beta",-0.133,0.063,0.036,0.039,"ns","s",-0.04044,0.11244
"StomataSize","rFitness","mlp",0.062,0.077,"ns","beta",-0.08892,0.21292,0.04,0.07,"ns","s",-0.0972,0.1772
"StomataSize","rFitness","thi",0.014,0.011,"ns","beta",-0.00756,0.03556,0.047,0.009,"***","s",0.02936,0.06464
"StomataSize","rFitness","thp",0.004,0.021,"ns","beta",-0.03716,0.04516,0.054,0.017,"***","s",0.02068,0.08732
"StomataSize","rSeeds","mli",-0.006,0.042,"ns","beta",-0.08832,0.07632,-0.032,0.03,"ns","s",-0.0908,0.0268
"StomataSize","rSeeds","mlp",0.059,0.026,"**","beta",0.00804,0.10996,0,0.018,"ns","s",-0.03528,0.03528
"StomataSize","rSeeds","thi",0.004,0.009,"ns","beta",-0.01364,0.02164,0.039,0.009,"***","s",0.02136,0.05664
"StomataSize","rSeeds","thp",-0.003,0.012,"ns","beta",-0.02652,0.02052,0.029,0.009,"***","s",0.01136,0.04664
"StomataSize","rSurvival_fruit","mli",-0.005,0.041,"ns","beta",-0.08536,0.07536,0.051,0.027,"*","s",-0.00192,0.10392
"StomataSize","rSurvival_fruit","mlp",-0.068,0.07,"ns","beta",-0.2052,0.0692,0.026,0.059,"ns","s",-0.08964,0.14164
"StomataSize","rSurvival_fruit","thi",0.006,0.007,"ns","beta",-0.00772,0.01972,0.009,0.006,"*","s",-0.00276,0.02076
"StomataSize","rSurvival_fruit","thp",0.013,0.016,"ns","beta",-0.01836,0.04436,0.027,0.014,"*","s",-0.000439999999999999,0.05444
"Vernalization","rFitness","mli",-0.197,0.11,"*","beta",-0.4126,0.0186,-0.157,0.045,"***","s",-0.2452,-0.0688
"Vernalization","rFitness","mlp",-0.203,0.198,"ns","beta",-0.59108,0.18508,-0.145,0.084,"*","s",-0.30964,0.01964
"Vernalization","rFitness","thi",-0.109,0.025,"***","beta",-0.158,-0.06,-0.094,0.011,"***","s",-0.11556,-0.07244
"Vernalization","rFitness","thp",-0.131,0.034,"***","beta",-0.19764,-0.06436,-0.123,0.016,"***","s",-0.15436,-0.09164
"Vernalization","rSeeds","mli",0.112,0.078,"*","beta",-0.04088,0.26488,0.098,0.035,"***","s",0.0294,0.1666
"Vernalization","rSeeds","mlp",0.099,0.043,"**","beta",0.01472,0.18328,0.067,0.019,"***","s",0.02976,0.10424
"Vernalization","rSeeds","thi",-0.116,0.023,"***","beta",-0.16108,-0.07092,-0.09,0.009,"***","s",-0.10764,-0.07236
"Vernalization","rSeeds","thp",-0.102,0.022,"***","beta",-0.14512,-0.05888,-0.091,0.01,"***","s",-0.1106,-0.0714
"Vernalization","rSurvival_fruit","mli",-0.172,0.075,"**","beta",-0.319,-0.025,-0.185,0.033,"***","s",-0.24968,-0.12032
"Vernalization","rSurvival_fruit","mlp",-0.111,0.159,"ns","beta",-0.42264,0.20064,-0.237,0.059,"***","s",-0.35264,-0.12136
"Vernalization","rSurvival_fruit","thi",0.008,0.015,"ns","beta",-0.0214,0.0374,-0.004,0.006,"ns","s",-0.01576,0.00776
"Vernalization","rSurvival_fruit","thp",-0.048,0.029,"*","beta",-0.10484,0.00884,-0.037,0.012,"***","s",-0.06052,-0.01348
