"id","Delta_13C.x","mean_dC13_ko","days_to_flowering","days_to_wilting"
"10005",-34.9193355733,-30.7895666666667,44.81,68.3333333333333
"10017",-34.9839604448,-30.6689333333333,44.365,68.8833333333333
"1002",-36.1477317067,-30.7171311111111,37.9633333333333,75.4240833333334
"1061",-35.1570827244,-30.7471,44.4683333333333,67.96
"1062",-34.7596628797,-30.6244333333333,45.2533333333333,68.8316666666667
"1063",-35.3622431294,-30.7508333333333,45.27,69.755
"1066",-34.3839030075,-30.6370333333333,45.835,74.7416666666666
"1254",-33.6273442132,-30.4713666666666,45.2566666666667,72.1183333333333
"139",-36.828740517,-31.1849833333333,34.2166666666667,70.0616666666667
"1890",-35.7976300530452,-30.8047444444444,42,76.3333333333333
"1954",-36.3691118168137,-30.9541,35.3333333333333,73
"410",-36.9744424629,-31.2880666666667,34.0266666666667,69.0916666666667
"430",-36.6303807441,-31.1649833333333,32.9433333333334,70.7083333333333
"4807",-34.1414069692143,-30.5,45.2483333333333,72.565
"5023",-37.0983090262,-31.2809666666667,34.0266666666667,69.0916666666667
"5151",-36.0534759501776,-31.0411666666667,39,66
"5165",-35.0903986749,-30.6689333333333,44.365,68.77
"5353",-35.8938733882,-30.8564422222222,57.5033333333333,80.0966666666666
"5741",-34.0860471125392,-30.1819666666667,67.3333333333333,84.6666666666667
"5830",-34.7637785895,-30.6244333333333,45.2533333333333,68.8316666666667
"5832",-35.4417486862,-30.5821666666667,44.1283333333333,71.5416666666667
"5865",-33.9312191295,-30.4732,45.585,74.2149999999999
"5867",-34.6884469617,-30.6365666666666,45.1233333333333,69.4416666666666
"5907",-37.4137730192,-31.2748666666667,34.0266666666667,69.0916666666667
"6009",-33.2093557018,-30.4713666666666,45.2566666666667,72.1183333333333
"6011",-35.7939500782,-30.8202,44.7916666666667,73.8266666666666
"6012",-34.6800954269,-30.6365666666666,45.1233333333333,69.4416666666666
"6013",-34.4331272582,-30.6370333333333,45.835,74.7416666666666
"6016",-35.0321038318,-30.6689333333333,44.365,68.77
"6019",-35.7131704319,-30.8121,44.7083333333333,73.7516666666666
"6020",-36.5363097044,-31.0869833333333,35.2833333333333,69.62
"6021",-34.9186010914,-30.7895666666667,44.81,68.3333333333333
"6034",-33.8971775487,-30.4685,45.3283333333333,72.34
"6036",-36.3260478017,-30.9710833333333,33.11,73.2133333333334
"6038",-35.4782762529,-30.8287333333333,44.1283333333333,71.4883333333334
"6039",-37.8715490814,-31.2748666666667,34.0266666666667,69.0916666666667
"6040",-33.3184791921,-30.1160666666667,61.3333333333333,85.6666666666667
"6041",-32.6845324216,-30.4713666666666,45.2566666666667,72.1183333333333
"6043",-35.5687170914,-30.7877333333333,44.7266666666667,73.5674999999999
"6069",-34.9108748418,-30.7538,44.81,68.3333333333333
"6073",-34.2131742108,-30.6217,45.8016666666667,74.5183333333333
"6074",-34.806159008,-30.6740666666666,45.1316666666667,68.9216666666666
"6085",-34.6729980545,-30.6365666666666,45.1066666666667,69.4416666666666
"6088",-35.8176172068,-30.8244333333333,43.9816666666667,71.8733333333333
"6092",-33.5847121077,-30.4713666666666,45.2566666666667,72.1183333333333
"6097",-36.2152464389,-30.8716166666667,36.9066666666667,69.525
"6098",-35.7906491859,-30.8202,44.7916666666667,73.8266666666666
"6099",-35.7200821961,-30.8121,44.695,73.7633333333333
"6100",-35.3378169841,-30.6338333333333,44.115,70.9333333333334
"6104",-33.9756039952,-30.4408666666666,45.585,74.2149999999999
"6105",-32.9780678888,-30.4713666666666,45.2566666666667,72.1183333333333
"6106",-36.2558700569,-30.88865,35.4833333333333,70.2566666666667
"6109",-34.8307598297,-30.6405666666666,45.3266666666667,68.87
"6112",-36.1759219396,-30.83315,37.33,69.6866666666666
"6113",-35.4751994384,-30.8354666666667,44.1283333333333,71.5416666666667
"6124",-35.3812005529,-30.7586333333333,45.345,69.8033333333333
"6125",-32.7756707737,-30.4713666666666,45.2566666666667,72.1183333333333
"6126",-34.303828732,-30.6334,45.8016666666667,74.5183333333333
"6132",-34.3150437323,-30.2360333333333,64,85.3333333333333
"6133",-32.8845585105,-30.4713666666666,45.2566666666667,72.1183333333333
"6134",-34.4535352399,-30.6370333333333,45.835,74.7416666666666
"6136",-35.344262951,-30.4799666666667,56.5,85
"6137",-34.2719783017,-30.6334,45.8016666666667,74.5183333333333
"6138",-33.9204591616,-30.4033333333333,42.3333333333333,76.3333333333333
"6140",-34.1962141487,-30.6217,45.8016666666667,74.5183333333333
"6142",-35.1991917325,-30.7471,44.4683333333333,67.96
"6148",-33.7999373752,-30.4685,45.3283333333333,72.34
"6149",-35.9357872597,-30.8750866666667,48.1216666666667,74.0833333333333
"6150",-35.7106916185,-30.8121,44.7083333333333,73.7516666666666
"6151",-36.3185472831,-30.8235833333333,33.3133333333333,72.9150000000001
"6153",-34.3710922736,-30.6370333333333,45.835,74.7416666666666
"6169",-36.0963125588,-31.0037666666667,38.525,67.6011666666667
"6173",-33.7113185096,-30.4713666666666,45.2566666666667,72.1183333333333
"6177",-34.613500624,-30.2364333333333,66.6666666666667,85.6666666666667
"6184",-34.5921901105,-30.6365666666666,45.1,69.4583333333333
"6188",-36.3303541708,-30.9710833333333,33.13,73.2933333333334
"6189",-35.8521156581,-30.8514,44.595,71.2283333333334
"6191",-38.6797102193,-31.2748666666667,34.0266666666667,69.0916666666667
"6192",-36.5646292219,-31.1374833333333,32.6833333333334,70.2283333333333
"6193",-37.2277132876,-31.2748666666667,34.0266666666667,69.0916666666667
"6194",-35.7727353947,-30.8312,44.81,73.8983333333333
"6195",-34.9430211292,-30.7983333333333,44.7433333333333,68.17
"6201",-36.540382908,-31.0998,35.3,69.42
"6202",-36.0756429038,-31.0027,38.4083333333333,67.1486666666667
"6203",-36.5990519225,-31.1649166666667,32.3566666666667,70.45
"6209",-36.4416412945,-31.1106833333333,32.9033333333333,70.9983333333334
"6210",-35.5171645427,-30.7887666666666,44.9016666666667,73.225
"6235",-33.6626484788,-30.4713666666666,45.2566666666667,72.1183333333333
"6242",-34.5617076978,-30.6365666666666,45.1,69.4583333333333
"6258",-33.5416292015,-30.4713666666666,45.2566666666667,72.1183333333333
"6268",-35.5768394024,-30.8008666666666,45.02,73.4091666666666
"6276",-35.6522924651,-30.8036333333333,45.0683333333333,73.4083333333333
"6284",-35.0760600777,-30.6689333333333,44.365,68.77
"6296",-36.7369865267,-31.1526833333333,34.9533333333333,69.9883333333333
"6413",-33.8638529993,-30.5866666666667,44.88,69.905
"6424",-36.6545127178,-31.1375833333333,35.1633333333333,70.175
"6445",-37.7004300776,-31.2748666666667,34.0266666666667,69.0916666666667
"6680",-35.4286254605407,-30.5837666666667,44,71.6666666666667
"6903",-36.3659883737,-30.9974166666667,33.6766666666667,72.1716666666667
"6915",-36.0991845618,-31.0122666666667,38.5483333333333,68.0395
"6918",-34.4856378812,-30.563,45.5783333333333,74.4466666666666
"6924",-37.4977040435,-31.2748666666667,34.0266666666667,69.0916666666667
"6933",-37.3451560256,-31.2748666666667,34.0266666666667,69.0916666666667
"6944",-36.0664053097,-31.0027,38.4283333333333,67.032
"6945",-34.1263595829,-30.5901,45.8016666666667,74.525
"6957",-35.7988024642,-30.8202,44.755,73.7699999999999
