trait	env	fitness	beta	beta.s	s	s.s
StomataDensity	thi	rFitness	-0.025 (-0.0446, -0.0054)	**	-0.045 (-0.06264, -0.02736)	***
StomataDensity	thp	rFitness	-0.034 (-0.06928, 0.00128)	ns	-0.059 (-0.09036, -0.02764)	***
StomataDensity	thi	rSeeds	-0.023 (-0.03672, -0.00928)	***	-0.041 (-0.0606, -0.0214)	***
StomataDensity	thp	rSeeds	-0.013 (-0.03456, 0.00856)	ns	-0.03 (-0.0496, -0.0104)	***
StomataDensity	thi	rSurvival_fruit	-0.003 (-0.02064, 0.0146)	ns	-0.006 (-0.01972, 0.00772)	ns
StomataDensity	thp	rSurvival_fruit	-0.019 (-0.0484, 0.0104)	ns	-0.028 (-0.05152, -0.00448)	***
StomataSize	thi	rFitness	0.014 (-0.00756, 0.0356)	ns	0.047 (0.02936, 0.06464)	***
StomataSize	thp	rFitness	0.004 (-0.03716, 0.0452)	ns	0.054 (0.02068, 0.08732)	***
StomataSize	thi	rSeeds	0.004 (-0.01364, 0.0216)	ns	0.039 (0.02136, 0.05664)	***
StomataSize	thp	rSeeds	-0.003 (-0.02652, 0.0205)	ns	0.029 (0.01136, 0.04664)	***
StomataSize	thi	rSurvival_fruit	0.006 (-0.00772, 0.0197)	ns	0.009 (-0.00276, 0.02076)	*
StomataSize	thp	rSurvival_fruit	0.013 (-0.01836, 0.0444)	ns	0.027 (-0.000439999999999999, 0.05444)	*
Vernalization	thi	rFitness	-0.109 (-0.158, -0.06)	***	-0.094 (-0.11556, -0.07244)	***
Vernalization	thp	rFitness	-0.131 (-0.19764, -0.0644)	***	-0.123 (-0.15436, -0.09164)	***
Vernalization	thi	rSeeds	-0.116 (-0.16108, -0.0709)	***	-0.09 (-0.10764, -0.07236)	***
Vernalization	thp	rSeeds	-0.102 (-0.14512, -0.0589)	***	-0.091 (-0.1106, -0.0714)	***
Vernalization	thi	rSurvival_fruit	0.008 (-0.0214, 0.0374)	ns	-0.004 (-0.01576, 0.00776)	ns
Vernalization	thp	rSurvival_fruit	-0.048 (-0.10484, 0.00884)	*	-0.037 (-0.06052, -0.01348)	***
