Locus	TAIR internal locus id	Gene Model(s)	GO term	GO ID	TAIR internal GO id	category	GO Slim(s)	Evidence code	Reference	Made by	date last modified
AT1G78070	2029486	AT1G78070	regulation of post-embryonic development	GO:0048580	21451	proc	post-embryonic development | multicellular organism development	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G78070	2029486	AT1G78070	response to oxidative stress	GO:0006979	6625	proc	response to stress	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G78070	2029486	AT1G78070	response to wounding	GO:0009611	7144	proc	response to stress	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G78070	2029486	AT1G78070	response to jasmonic acid	GO:0009753	11419	proc	response to chemical | response to endogenous stimulus	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G78070	2029486	AT1G78070	defense response to bacterium	GO:0042742	14972	proc	response to biotic stimulus | response to external stimulus | response to stress	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G78070	2029486	AT1G78070	Cul4-RING E3 ubiquitin ligase complex	GO:0080008	29799	comp	other cellular components	ISS	Publication:501723872|PMID:18223036  	TAIR	08/22/2008 00:00:00
AT2G33560	2050977	AT2G33560	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501733737|PMID:19710914  		04/01/2021 00:00:00
AT2G33560	2050977	AT2G33560	kinetochore microtubule	GO:0005828	412	comp	other intracellular components | cytoskeleton	IDA	Publication:501733737|PMID:19710914  		08/01/2016 00:00:00
AT2G33560	2050976	AT2G33560.1	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT2G33560	2050977	AT2G33560	mitotic spindle assembly checkpoint signaling	GO:0007094	6409	proc	cell cycle | other cellular processes | cellular component organization	IDA	Publication:501733737|PMID:19710914  	TAIR	09/22/2009 00:00:00
AT2G33560	2050977	AT2G33560	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501743093|PMID:21687678  		04/01/2021 00:00:00
AT2G33560	2050977	AT2G33560	kinetochore	GO:0000776	14235	comp	other intracellular components	IDA	Publication:501733737|PMID:19710914  	TAIR	09/22/2009 00:00:00
AT2G33560	2050977	AT2G33560	chromocenter	GO:0010369	26801	comp	other intracellular components	IDA	Publication:501733737|PMID:19710914  	TAIR	09/22/2009 00:00:00
AT2G33560	6530296816	AT2G33560.2	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT2G33560	2050977	AT2G33560	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501739763|PMID:20706207  		12/05/2012 00:00:00
AT2G33560	2050977	AT2G33560	mitotic spindle assembly checkpoint signaling	GO:0007094	6409	proc	other cellular processes | cellular component organization | cell cycle	IBA	Communication:501741973		11/23/2022 00:00:00
AT2G33560	2050977	AT2G33560	meiotic sister chromatid cohesion, centromeric	GO:0051754	22543	proc	cellular component organization | cell cycle | other cellular processes | reproduction	IBA	Communication:501741973		11/23/2022 00:00:00
AT2G33560	2050977	AT2G33560	protein kinase activity	GO:0004672	3889	func	kinase activity | transferase activity | catalytic activity	IBA	Communication:501741973		11/23/2022 00:00:00
AT2G33560	2050977	AT2G33560	spindle microtubule	GO:0005876	682	comp	cytoskeleton | other intracellular components	IDA	Publication:501733737|PMID:19710914  		08/01/2016 00:00:00
AT2G33560	2050977	AT2G33560	cytoplasm	GO:0005737	231	comp	cytoplasm	IDA	Publication:501733737|PMID:19710914  		08/01/2016 00:00:00
AT4G00232	505006410	AT4G00232	gametophyte development	GO:0048229	17129	proc	multicellular organism development	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00232	505006410	AT4G00232	macromolecule biosynthetic process	GO:0009059	6237	proc	biosynthetic process | other metabolic processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00232	3704897	AT4G00232.1	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00232	505006410	AT4G00232	regulation of multicellular organismal process	GO:0051239	19563	proc	other biological processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00232	505006410	AT4G00232	nucleus	GO:0005634	537	comp	nucleus	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G00232	505006410	AT4G00232	regulation of growth	GO:0040008	10887	proc	growth	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00232	505006410	AT4G00232	molecular_function_unknown	GO:0003674	3226	func	unknown molecular functions	ND	Communication:1345790	TAIR	10/28/2021 00:00:00
AT4G00232	505006410	AT4G00232	cell differentiation	GO:0030154	9398	proc	cell differentiation	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00232	505006410	AT4G00232	cellular macromolecule metabolic process	GO:0044260	19693	proc	other metabolic processes | other cellular processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00232	505006410	AT4G00232	regulation of DNA-templated transcription	GO:0006355	7461	proc	biosynthetic process | nucleobase-containing compound metabolic process | other metabolic processes | other cellular processes	IEA	AnalysisReference:501756966		11/22/2022 00:00:00
AT4G00232	505006410	AT4G00232	regulation of reproductive process	GO:2000241	36525	proc	reproduction	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
