id,FT_Manzano.Piedras_2014,FT16_1001GC_2016,FT10_1001GC_2016,FT_Vidigal_2016,FT_Kooke_2016,FT_Aranzana_2005,FT10_Atwell_2010,FT16_Atwell_2010,FT_mhi,FT_mhp,FT_mli,FT_mlp,FT_thi,FT_thp,FT_tli,FT_tlp
9930,75.75,68.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9932,81.5,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9933,76.75,49,NA,104.8571429,104.75,100.1428571,107.3333333,152.2857143,156,155.75,163.2,NA,NA,NA,NA,NA
9935,79.25,73.75,NA,112,111,116,-9,161.7142857,160.6,162.75,167,NA,NA,NA,NA,NA
9937,67,47.75,NA,109.5714286,123.5,111.4,109,159.4285714,157.1666667,160.4285714,163,NA,NA,NA,NA,NA
9938,67.25,74,NA,102.6666667,105.2,107.5,-9,151.3333333,156,153.4285714,163.5,NA,NA,NA,NA,NA
9939,75.25,60.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9941,70,42.5,52.66666667,104.4285714,101,99.8,115,154.4285714,151.5,156.2,162.5,16.33333333,33.7,NA,NA,144
9942,65.6666666667,110.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.38
9943,74,61.5,55.23529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.75
9944,75.75,68,69.72222222,92.625,92.33333333,95.83333333,-9,146.5,142.5,146.6666667,157.6666667,NA,NA,NA,NA,107.38
9945,113.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.5
9946,61.5,54.5,59.52941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.25
9947,104.5,125,189.5,120.8,115.6666667,119.75,129.3333333,162.1428571,161,163.8333333,166.3333333,NA,NA,NA,NA,146.63
9948,105,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.38
9949,76.75,61.5,69.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9950,99,86.25,122.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.25
9951,98.75,109.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9952,86,104.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9953,88,93.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9955,80.5,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9956,72.75,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9957,83.75,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9958,82,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9959,81.5,78.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9960,82.5,66.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9962,78,71.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
