name	pve	se_pve
ITS_OTU1537_1538	0.208837	0.200102
ITS_OTU1549_1550	0.999985	0.000195394
ITS_OTU1576_1577	0.0125754	0.172124
ITS_OTU1584_1585	6.81661e-06	0.274018
ITS_OTU1614_1615	6.81661e-06	0.242808
ITS_OTU1631_1632	6.81661e-06	0.330822
ITS_OTU1644_1645	0.999985	0.000211581
ITS_OTU1650_1651	0.0376092	0.17621
ITS_OTU1660_1661	0.332981	0.208289
ITS_OTU1666_1667	0.999985	0.000222886
ITS_OTU1671_1672	6.81661e-06	0.40999
ITS_OTU1676_1677	0.240558	0.177676
ITS_OTU1713_1714	6.81661e-06	0.384859
ITS_OTU1738_1739	0.18379	0.211119
ITS_OTU1762_1763	6.81661e-06	0.167459
ITS_OTU1772_1773	6.81661e-06	0.236474
ITS_OTU1786_1787	0.315884	0.150299
ITS_OTU1800_1801	6.81661e-06	0.580702
ITS_OTU1805_1806	0.118037	0.17419
ITS_OTU1808_1809	6.81661e-06	0.345436
ITS_OTU1822_1823	6.81661e-06	0.219778
ITS_OTU1827_1828	6.81661e-06	0.438294
ITS_OTU1845_1846	6.81661e-06	0.283029
ITS_OTU1890_1891	0.388248	0.1439
ITS_OTU1941_1942	0.569063	0.183157
ITS_OTU1953_1954	6.81661e-06	0.315755
ITS_OTU2043_2044	0.265318	0.328669
ITS_OTU2054_2055	0.391131	0.16258
ITS_OTU2081_2082	6.81661e-06	1.12764
ITS_OTU2082_2083	0.0883965	0.226566
ITS_OTU2103_2104	6.81661e-06	0.241407
ITS_OTU2109_2110	0.999985	0.000222815
ITS_OTU2128_2129	0.159324	0.207929
ITS_OTU2129_2130	6.81661e-06	0.228034
ITS_OTU2154_2155	6.81661e-06	0.301107
ITS_OTU2179_2180	0.210227	0.187575
ITS_OTU2243_2244	6.81661e-06	0.271054
ITS_OTU2349_2350	0.999985	0.000198604
ITS_OTU2419_2420	6.81661e-06	0.294563
ITS_OTU2460_2461	0.999985	0.000216208
ITS_OTU2678_2679	6.81661e-06	0.199853
ITS_OTU2761_2762	6.81661e-06	0.186265
ITS_OTU2877_2878	0.0736615	0.230367
ITS_OTU2911_2912	0.453591	0.257389
ITS_OTU2934_2935	6.81661e-06	0.227838
ITS_OTU3025_3026	0.999985	0.000211915
ITS_OTU3029_3030	0.149853	0.148032
ITS_OTU3043_3044	0.999985	0.000221734
ITS_OTU3185_3186	0.999985	0.000203947
ITS_OTU3313_3313	6.81661e-06	0.274364
ITS_OTU3327_3327	0.00798116	0.177276
ITS_OTU3376_3376	6.81661e-06	0.203873
ITS_OTU3421_3421	0.411253	0.220955
ITS_OTU3455_3455	0.133366	0.220325
ITS_OTU3467_3467	6.81661e-06	0.30624
ITS_OTU3507_3507	6.81661e-06	0.309271
ITS_OTU3573_3573	6.81661e-06	0.272836
ITS_OTU3751_3751	6.81661e-06	0.562854
ITS_OTU3804_3804	0.999985	0.000214672
ITS_OTU3820_3820	0.46336	0.189242
ITS_OTU3874_3874	0.336331	0.16762
ITS_OTU3962_3962	6.81661e-06	0.203522
ITS_OTU4268_4268	0.397692	0.112802
ITS_OTU600_601	6.81661e-06	0.628572
ITS_OTU621_622	0.0412166	0.226715
ITS_OTU763_764	6.81661e-06	0.301899
ITS_OTU776_777	0.0683468	0.238197
ITS_OTU780_781	0.999985	0.00021638
ITS_OTU822_823	6.81661e-06	0.281654
ITS_OTU850_851	0.0904133	0.253972
ITS_OTU883_884	0.999985	0.000209765
ITS_OTU892_893	0.999985	0.000207485
ITS_OTU899_900	0.0893681	0.219525
ITS_OTU905_906	6.81661e-06	0.269491
ITS_OTU907_908	0.332981	0.208289
ITS_OTU910_911	0.999985	0.000207664
ITS_OTU917_918	0.130549	0.252704
ITS_OTU921_922	0.999985	0.000201516
ITS_OTU998_999	0.0138575	0.223094
elfDC	7.68197e-06	0.152398
elfPs	0.252618	0.205912
elfPv	0.10834	0.249708
flgPa	0.375522	0.238613
flgPsHRm	0.163324	0.150552
flgPsHRp	0.233866	0.229348
flgPv	7.68197e-06	0.0994419
day10_27C_cut	0.00814143	0.0953638
day10_30C_cut	0.0285891	0.0939415
day10_30C_uncut	8.07025e-06	0.0952923
day11_27C_cut	7.90836e-06	0.105192
day11_27C_uncut	0.47509	0.266248
day12_27C_cut	7.90836e-06	0.157263
day13_27C_cut	7.90836e-06	0.23664
day13_27C_uncut	0.404145	0.260614
day3_27C_cut	0.649578	0.172447
day3_27C_uncut	0.381804	0.117579
day3_30C_cut	7.92392e-06	0.12774
day3_30C_uncut	0.709786	0.148702
day4_27C_cut	7.87304e-06	0.207775
day4_27C_uncut	0.159054	0.119937
day4_30C_cut	7.92392e-06	0.122338
day4_30C_uncut	0.547309	0.209518
day5_27C_cut	0.288185	0.301191
day5_27C_uncut	0.73371	0.352386
day5_30C_cut	0.656928	0.371203
day5_30C_uncut	8.07025e-06	0.120301
day6_27C_cut	0.235514	0.282877
day6_27C_uncut	0.658537	0.401381
day6_30C_cut	0.361594	0.250309
day6_30C_uncut	0.036564	0.11339
day7_27C_cut	0.186372	0.291567
day7_27C_uncut	0.460874	0.348463
day7_30C_cut	0.174469	0.242902
day7_30C_uncut	8.07025e-06	0.197016
day8_27C_uncut	0.430285	0.305594
day9_27C_uncut	0.557924	0.295526
LB_vs_PR_DhighN_vs_lowN	0.0201019	0.230661
LB_vs_PR_highN	8.03581e-06	0.12845
LB_vs_PR_lowN	0.518746	0.333205
LR_count_DhighN_vs_lowN	0.199461	0.543832
LR_count_highN	0.235869	0.952853
LR_count_lowN	8.03581e-06	0.104862
LRdensity_DhighN_vs_lowN	0.10319	0.376058
LRdensity_highN	0.531361	0.456177
LRdensity_lowN	0.477727	0.210407
LRlengthave_DhighN_vs_lowN	0.907204	0.0917487
LRlengthave_highN	0.987038	0.0799401
LRlengthave_lowN	0.804717	0.191295
LRtot_DhighN_vs_lowN	0.890538	0.101398
LRtot_highN	0.994281	0.0588975
LRtot_lowN	8.03581e-06	0.104194
PR_DhighN_vs_lowN	0.056656	0.161292
PR_highN	8.03581e-06	0.133039
PR_lowN	8.03581e-06	0.169061
PR_plus_LRtot_DhighN_vs_lowN	0.801599	0.146957
PR_plus_LRtot_highN	0.91638	0.136601
PR_plus_LRtot_lowN	8.03581e-06	0.0963401
SA_DhighN_vs_lowN	0.431913	0.297151
SA_highN	0.660352	0.24607
SA_lowN	8.03581e-06	0.0922113
SA_to_PR_DhighN_vs_lowN	8.03581e-06	0.191331
SA_to_PR_highN	8.03581e-06	0.0899644
SA_to_PR_lowN	8.03581e-06	0.0973738
DTF_Oct_2010	0.865491	0.0960157
DTF_Oct_2040	0.970672	0.0880164
DTF_Sep_2010	0.999988	0.00117774
DTF_Sep_2040	0.999988	0.000877374
108_Area_sweden_2009_1st_experiment	0.668969	0.15582
109_SizePlantingSummer2009	0.679112	0.197516
110_Size_sweden_2009_2nd_experiment	0.999988	0.00174389
111_SizePlantingSummerLocSweden2009	8.22149e-06	0.113193
112_Area_sweden_2009_2nd_experiment	0.467522	0.157643
113_DTF_sweden_2008_1st_experiment	0.999988	0.000701438
114_Yield_sweden_2009_2nd_experiment	7.46157e-06	0.581531
115_SizeLocSweden2009	0.934283	0.0499485
116_DTFplantingSummerLocSweden2009	7.87111e-06	0.128317
117_DTFlocSweden2008	0.999988	0.000954132
118_DTFlocSweden2009	0.993664	0.0352884
119_DTF_spain_2009_1st_experiment	0.999987	0.000364398
120_DTFplantingLoc2008	8.0023e-06	0.117053
121_DTF_spain_2009_2nd_experiment	0.999987	0.000386629
