Locus	TAIR.internal.locus.id	GO.term	category	Evidence.code
AT4G00232	505006410	regulation of growth	proc	IEA
AT4G00232	505006410	molecular_function_unknown	func	ND
AT4G00232	505006410	cell differentiation	proc	IEA
AT4G00232	505006410	cellular macromolecule metabolic process	proc	IEA
AT4G00232	505006410	regulation of DNA-templated transcription	proc	IEA
AT4G00232	505006410	regulation of reproductive process	proc	IEA
AT4G00232	505006410	regulation of developmental process	proc	IEA
AT4G00240	2126001	phospholipase D activity	func	IDA
AT4G00240	2126001	calcium ion binding	func	IEA
AT4G00240	2126001	protein binding	func	IPI
AT4G00240	2126001	phospholipid catabolic process	proc	IBA
AT4G00240	2126001	phospholipase D activity	func	IBA
AT4G00240	2126001	phosphatidylcholine metabolic process	proc	IEA
AT4G00240	2126001	N-acylphosphatidylethanolamine-specific phospholipase D activity	func	IEA
AT4G00240	2126001	phospholipase D activity	func	IEA
AT4G00240	2126001	phospholipase D activity	func	ISS
AT4G00300	2126076	cellular response to oxygen-containing compound	proc	IEA
AT4G00300	2126076	growth	proc	IEA
AT4G00300	2126076	cellular response to hormone stimulus	proc	IEA
AT4G00300	2126076	signal transduction	proc	IEA
AT4G00300	2126076	glycosyltransferase activity	func	ISS
AT4G00300	2126076	protein kinase activity	func	IEA
AT4G00300	2126076	cellular response to lipid	proc	IEA
AT4G00440	2126041	cellular lipid metabolic process	proc	IEA
AT4G00440	2126041	shoot system morphogenesis	proc	IEA
AT4G00440	2126041	developmental growth	proc	IEA
AT4G00440	2126041	meristem development	proc	IEA
AT4G00440	2126041	molecular_function_unknown	func	ND
AT4G00440	2126041	lipid biosynthetic process	proc	IEA
AT4G00440	2126041	cell division	proc	IEA
AT4G00440	2126041	regulation of hormone levels	proc	IEA
AT4G00440	2126041	cell differentiation	proc	IEA
AT4G00630	2127123	regulation of photosynthesis	proc	IMP
AT4G00630	2127123	regulation of seedling development	proc	IMP
AT4G00630	2127123	potassium ion transmembrane transporter activity	func	ISS
AT4G00630	2127123	response to absence of light	proc	IMP
AT4G00630	2127123	primary root development	proc	IMP
AT4G00630	2127123	potassium:proton antiporter activity	func	IMP
AT4G00630	2127123	plastid rRNA transcription	proc	IMP
AT4G00630	2127123	proton transmembrane transport	proc	IDA
AT4G00630	2127123	response to sucrose	proc	IMP
AT4G00630	2127123	potassium ion transport	proc	IDA
AT4G00630	2127123	chloroplast organization	proc	IGI
AT4G00630	2127123	regulation of pH	proc	IMP
AT4G00630	2127123	potassium:proton antiporter activity	func	IBA
AT4G00630	2127123	reactive nitrogen species metabolic process	proc	IMP
AT4G00630	2127123	potassium:proton antiporter activity	func	IMP
AT4G00630	2127123	proton transmembrane transporter activity	func	IDA
AT4G00630	2127123	regulation of response to water deprivation	proc	IMP
AT4G00630	2127123	potassium ion transport	proc	IDA
AT4G00630	2127123	potassium:proton antiporter activity	func	IDA
AT4G00630	2127123	response to abscisic acid	proc	IMP
AT4G00630	2127123	regulation of reactive oxygen species metabolic process	proc	IMP
AT4G00630	2127123	regulation of photosynthesis	proc	IGI
AT4G00630	2127123	potassium:proton antiporter activity	func	IDA
AT4G00630	2127123	potassium ion transmembrane transporter activity	func	IDA
AT4G00730	2127008	cutin biosynthetic process	proc	IMP
AT4G00730	2127008	lipid binding	func	IEA
AT4G00730	2127008	transcription cis-regulatory region binding	func	IPI
