id,FT_variance,FT_Manzano.Piedras_2014,FT16_1001GC_2016,FT10_1001GC_2016,FT_Vidigal_2016,FT_Kooke_2016,FT_Aranzana_2005,FT10_Atwell_2010,FT16_Atwell_2010,FT_mhi,FT_mhp,FT_mli,FT_mlp,FT_thi,FT_thp,FT_tli,FT_tlp
159,0.272309422327559,-0.641547302149328,-0.681586885467094,-0.557664852129979,-0.517401520510598,0.0632497749850611,0.539718636134058,0.54629963625873,0.216467797293292,0.455660546204158,0.00390574793788295,0.32542840005083,-0.835446254158004,-0.765437850712108,-0.819206639722642,-0.677965531126664,-0.135235684103065
265,0.287818509607998,-1.126571909701,-1.05043355475407,-1.26509651288934,-1.20941226170191,-1.3649067501035,-0.596058336097218,-1.1180919206594,-0.180290399991335,-0.262133419370207,-0.288535943192425,0.562955951443468,-1.17030557816683,-0.919414574944705,-0.912395743699199,-0.968575733247236,-1.37387810232262
403,0.208961215456078,-1.126571909701,-0.778651798437351,-0.635920181849462,-0.676539882781794,-1.02800829070447,-1.12869857135051,-1.22211639296679,0.13831845922939,0.121572106644878,-0.493681614546335,0.206664624354511,-0.791399373852443,-0.751814349883663,-0.805909230179382,-0.724279322462181,-0.239324145669377
763,0.515298100805421,-0.998183042996145,-1.37074776755591,-0.99109647887453,-0.264226857864143,-0.740912206834038,-0.79971489663524,-0.385024164272925,0.685363838300841,0.61774305455966,0.475304301870298,0.919247278532426,-1.089166588104,-0.806375135064247,-0.759046585256764,-0.911302189763619,-0.64958832253285
765,0.417036674204079,-1.51173850981556,-1.46134168619873,-1.03212484836453,-0.11232206027627,0.107193052680094,-1.0973667928062,-1.67288910907277,0.162364411345073,0.0527697397204828,0.288241387384406,-0.102121192455921,-0.907312216820543,-0.805106279594931,-0.736205067251003,-0.983424429705951,-0.900398769004502
766,0.0470309279262787,-1.126571909701,-1.26397636328863,-1.25655440243098,-1.16842207870806,-1.40885002779853,-1.34018807652461,-0.754039111411455,-0.775427683294147,-1.33650890332668,-1.40156030664396,-1.33726445969764,-1.21847380400321,-0.897153952676005,-0.910930154693184,-1.08170865864697,-1.28428087911454
768,0.117452387797189,-0.38476956873962,0.153171366077111,-0.782462188714055,-0.659179331592613,-0.600293718209932,-0.862378453723863,-0.507815019230073,0.0902265549980249,-0.200387698814158,0.00390574793788295,0.0879008486581922,-0.568073963246846,-0.73013250379395,-0.631756060032169,-0.68185447543728,-0.596627396102696
772,0.0632257265706981,-0.898325035559036,-1.19603092420945,-1.00758714389346,-1.14189902508085,-0.508012835050364,-0.93548593438294,-0.82682339819873,-0.144221471817809,-0.694353444738832,-0.871548711235805,-0.941385199458986,-0.992830136462152,-0.836360193260186,-0.723229369228951,-0.996151883813421,-0.897969815768158
801,0.0891775507125801,0.656606794533085,0.541431017958137,0.982165792728767,0.712303979432046,1.26290125605945,0.245983212281142,0.130201747029197,0.595191524179095,0.571433766458088,0.306947673595235,0.230417379493774,0.634843762118369,0.3422507133784,0.49712966788637,0.800893928083007,0.822358530067669
915,0.381641644865931,-1.11230648006713,-1.19603092420945,-0.963317357221523,-0.387197406845709,0.0266303739763159,-0.106499296342358,0.657259070612619,0.496001974857939,-0.748380944436713,0.456598015659473,0.32542840005083,-0.833127997346182,-0.807376863066338,-0.798080916496656,-0.802411749066374,-0.548972327080983
932,0.247829422850098,-0.299176990936384,-0.215675303209863,-0.405490388348729,-0.146078678586802,0.0266303739763159,0.0305772347890035,0.185681468367121,0.474961763600686,0.238006892126771,0.126120183481484,1.51306615701402,-0.271079501278261,-0.595589302801927,-0.39980205324127,-0.38205222312798,-0.211865483653771
1552,0.335330312332721,1.18442769098637,1.59296757384172,1.10682399412926,0.205954654139136,0.454344946470852,-0.439399443375663,0.504689847335777,0.649294910127318,0.478815190254944,0.370549067663093,0.0879008486581922,0.956308713058536,1.54036192512437,1.34880730169743,1.20463705560331,1.26256055747509
1890,0.231512096798811,1.0132425353799,0.0561064531068545,-0.15778535976464,-0.129200374495028,-0.653025651443972,-0.687442692795773,-0.896173043629667,0.369760732562672,0.293578037848657,0.475304301870298,0.0285189608100327,0.0807803729806683,-0.457083711046076,-0.186507314680428,-0.229322773838337,-0.233034754862797
1954,0.0943601293690131,0.556748787095977,1.03646207410644,1.05522285742485,0.680958545973627,0.846904896809362,1.51883671564378,0.54629963625873,0.811605080596108,0.515862620736203,0.737192387388307,0.350802121937854,0.626343486987137,0.203923206600699,0.56125749778048,0.772610696733073,0.746205877665646
