perc_miss	id
0.02844873859366613	88
0.013955984970477724	108
0.01610305958132045	139
0.045625335480407946	159
0.0322061191626409	265
0.011808910359634998	350
0.011808910359634998	351
0.028985507246376812	403
0.01610305958132045	410
0.011808910359634998	424
0.013955984970477724	428
0.23939881910896404	430
0	470
0	476
0	484
0	504
0	506
0	531
0	544
0	546
0	628
0.001610305958132045	630
0	680
0	681
0	685
0	687
0	728
0	742
0.0322061191626409	763
0.03274288781535158	765
0.02147074610842727	766
0.02308105206655931	768
0.02308105206655931	772
0.01878690284487386	801
0	853
0	854
0	867
0	868
0.001610305958132045	870
0.01878690284487386	915
0.01878690284487386	932
0.006977992485238862	991
0.020933977455716585	992
0.010735373054213635	997
0.010735373054213635	1002
5.367686527106817e-4	1006
0.01825013419216318	1061
0.015566290928609769	1062
0.015566290928609769	1063
0.004830917874396135	1066
0.013419216317767043	1070
0.013419216317767043	1158
0.014492753623188406	1166
0.015566290928609769	1254
0.013419216317767043	1257
0.011808910359634998	1313
0.01610305958132045	1317
0.029522275899087493	1552
0	1612
0	1622
0	1651
0	1652
0	1676
0	1684
0	1739
0	1741
0	1756
0	1757
0	1793
0	1797
0	1819
0	1820
0.05958132045088567	1829
0	1834
0	1835
0	1851
0	1852
0.001610305958132045	1853
0.001610305958132045	1872
0.01878690284487386	1890
0.26623725174449814	1925
0	1942
0	1943
0.01825013419216318	1954
0.001610305958132045	2016
0	2017
0	2031
0	2053
0.34406870638754694	2057
0	2081
0	2091
0	2106
0	2108
0	2141
0	2159
0	2166
0.0322061191626409	2171
0	2191
0.001610305958132045	2202
0	2212
0	2239
0	2240
0.001610305958132045	2276
0.001610305958132045	2278
0	2285
0	2286
0.01878690284487386	2317
0	2370
0	2412
0.011808910359634998	4779
0.011808910359634998	4807
0.011808910359634998	4826
0	4840
0	4857
0.011808910359634998	4884
0.011808910359634998	4900
0	4939
0.02844873859366613	4958
0.013955984970477724	5023
0.011808910359634998	5104
0.031132581857219538	5151
0.03435319377348363	5165
0.011808910359634998	5210
0.011808910359634998	5236
0	5249
0.013955984970477724	5253
0.013955984970477724	5276
0	5279
0.01825013419216318	5349
0.031132581857219538	5353
0	5395
0.01825013419216318	5486
0.027375201288244767	5577
0.013955984970477724	5644
0	5651
0.011272141706924315	5717
0	5718
0.01288244766505636	5720
0.07139023081052066	5726
0.028985507246376812	5741
0.001610305958132045	5748
0.001610305958132045	5757
0.03274288781535158	5768
0.0322061191626409	5772
0	5776
0.02844873859366613	5779
0.043478260869565216	5784
0.011272141706924315	5798
0.01878690284487386	5800
0.03166935050993022	5811
0.001610305958132045	5822
0.01825013419216318	5830
0.027375201288244767	5831
0.2490606548577563	5832
0.015566290928609769	5836
0.870101986044015	5837
0.043478260869565216	5856
0.015029522275899088	5860
0.007514761137949544	5865
0.13097155126140633	5867
0.013955984970477724	5874
0.015029522275899088	5890
0.013955984970477724	5893
0.01610305958132045	5907
0.0026838432635534087	5921
0.015029522275899088	5950
0.013955984970477724	5984
0.011808910359634998	5993
0.546430488459474	6008
0.38486312399355876	6009
0.011272141706924315	6010
0.01610305958132045	6011
0.026838432635534086	6012
0.029522275899087493	6013
0.36500268384326356	6016
0.024691358024691357	6017
0.2163177670424047	6019
0.23617820719269994	6020
0.0322061191626409	6021
0.015029522275899088	6022
0.02254428341384863	6023
0.1406333870101986	6024
0.05045625335480408	6025
0.020397208803005905	6030
0.03166935050993022	6034
0.017176596886741814	6035
0.029522275899087493	6036
0.028985507246376812	6038
0.45786366076221147	6039
0.3081052066559313	6040
0.030595813204508857	6041
0.5679012345679012	6042
0.22061191626409019	6043
0.5625335480407944	6046
0.24691358024691357	6064
0.03166935050993022	6069
0.012345679012345678	6070
0.017176596886741814	6071
0.026838432635534086	6073
0.47342995169082125	6074
0.16961889425657542	6076
0.011272141706924315	6077
0.2313472893183038	6085
0.03274288781535158	6086
0.014492753623188406	6087
0.12130971551261406	6088
0.03166935050993022	6090
0.013955984970477724	6091
0.04723564143853999	6092
0.21041331186258722	6094
0.013955984970477724	6095
0.20772946859903382	6096
0.045625335480407946	6097
0.24584004294149223	6098
0.043478260869565216	6099
0.2163177670424047	6100
0.011808910359634998	6101
0.15136876006441224	6102
0.030059044551798177	6104
0.020933977455716585	6105
0.04777241009125067	6106
0.045625335480407946	6107
0.04723564143853999	6108
0.15995705850778313	6109
0.04669887278582931	6111
0.2281266774020397	6112
0.014492753623188406	6113
0.04508856682769726	6114
0.03327965646806227	6115
0.017176596886741814	6118
0.2689210950080515	6119
0.033816425120772944	6122
0.013955984970477724	6123
0.19055287171229202	6124
0.04723564143853999	6125
