pheno	MSE	NRMSE
FT10	95.2001886405635	0.0918311378917834
FT16	204.343362998077	0.126503291262082
DSDS10	8148.55230487074	0.172820500504461
DSDS50	11641.7528587538	0.215277244247547
DSDS90	12219.0829956469	0.228861203064922
FT	953.452527375414	0.158313555963191
GAS	0.0478235997666253	0.218686075840748
SS	0.000876965844251781	0.174197700620432
t10	11.974575413399	0.116434385811627
t50	15.6025578535035	0.120574094115431
U8416	17.0128165812565	0.209906339519562
HL23_mm_	4.71735970237312	0.192207819955243
HL27_mm_	7.79891844889308	0.202366258937137
SensHL	0.313698541855841	0.237325413936103
VarTemp	463.159141475671	0.227255886372062
G2H3B	0.470563241542033	0.171158350420451
G2H4P	0.0882555914939512	0.119799433374186
G2P	0.637434690341433	0.206772611293867
G3B	0.349453072448896	0.157531024266068
G3BOP	0.0057853859647259	0.170100844600764
G3HP	0.204399200183255	0.168832431416346
G3MSP	0.0682746086402713	0.15088615065262
G3MTP	0.0445614437904009	0.217142372088581
G4BOB	0.00453039298014396	0.132954491301818
G4HB	0.00428265172701198	0.151191035694101
G4MSB	0.219207767423115	0.167417921405277
G4MTB	0.0570070850496387	0.140753322220693
G4P	0.103289395540233	0.14904254184103
G5MSP	0.0477066013225895	0.147944884289033
G5MTP	0.0010060628495243	0.150987892913099
G6MSH	0.00655909208505207	0.186281926574166
G6MTH	1.2927094954697e-25	0.169302956730264
G7MSH	0.00177365243916609	0.135542074296277
G7MTH	0.00261736881560244	0.160813382406715
G8MSO	0.00231275444448072	0.104841634392576
G8MTO	0.000654272123291527	0.177370860830224
X16S_OTU0_1	0.0938569838678627	0.287605536631887
X16S_OTU10_11	0.0322663558068159	0.166789119728741
X16S_OTU101_102	0.0793524632761121	0.266241679306245
X16S_OTU1026_1027	0.0894638432077544	0.274973116624728
X16S_OTU1037_1038	0.0913993698278488	0.284063449264099
X16S_OTU104_105	0.0613739277359631	0.237080061081572
X16S_OTU1076_1077	0.0348504096666826	0.175933708928678
X16S_OTU11_12	0.0822950816784796	0.244992812593257
X16S_OTU110_111	0.0782459766208111	0.251729981900806
X16S_OTU116_117	0.057986989232138	0.216459004181278
X16S_OTU12_13	0.0317339651389098	0.157518458842865
X16S_OTU125_126	0.0973607700040597	0.300644647542159
X16S_OTU129_130	0.0836915201339467	0.26933528690486
X16S_OTU15_16	0.0309859905530306	0.157605182327947
X16S_OTU151_152	0.0508367822610093	0.207827602725831
X16S_OTU154_155	0.0989135538085884	0.300598819471317
X16S_OTU157_158	0.0582899915492228	0.22294766240199
X16S_OTU159_160	0.023840033925432	0.139672147112927
X16S_OTU17_18	0.0275125623657268	0.156715602043884
X16S_OTU1782_1783	0.0881123066846315	0.276610886409716
X16S_OTU18_19	0.0464732018161797	0.202211633025001
X16S_OTU190_191	0.0232152322779541	0.13902883717846
X16S_OTU193_194	0.0954201617708561	0.27113204942887
X16S_OTU197_198	0.112466221381847	0.314669918059769
X16S_OTU199_200	0.0621738839283856	0.239318927734524
X16S_OTU200_201	0.0338189679598827	0.172336442379896
X16S_OTU202_203	0.123540113095814	0.326389941610196
X16S_OTU2052_2053	0.0399623023248037	0.187394597960876
X16S_OTU219_220	0.0788974417450642	0.272204886396827
X16S_OTU22_23	0.0197089245701087	0.137951027017974
X16S_OTU225_226	0.0212687546076171	0.136726539642818
X16S_OTU2284_2285	0.0955256168952005	0.295030382657338
X16S_OTU233_234	0.0356237209148679	0.184240735176962
X16S_OTU2331_2332	0.113590323771316	0.297234173941311
X16S_OTU243_244	0.125278121700267	0.346465398733492
X16S_OTU252_253	0.116464873891372	0.31918336992056
X16S_OTU254_255	0.0506705756536073	0.205765538934216
X16S_OTU2561_2562	0.100541768134956	0.299581870647878
X16S_OTU26_27	0.11170807840123	0.326372392945225
X16S_OTU273_274	0.0617622811377743	0.241310878152998
X16S_OTU278_279	0.0805003867990336	0.260347140872054
X16S_OTU28_29	0.104567506688527	0.301329589148349
X16S_OTU281_282	0.0593383173510093	0.227840769653624
X16S_OTU29_30	0.0921903223302886	0.289585570026813
X16S_OTU293_294	0.111732782047663	0.309351259762106
X16S_OTU308_309	0.0933491049593963	0.293889725345224
X16S_OTU32_33	0.0503813891877452	0.208356890360027
X16S_OTU320_321	0.081481169485667	0.264824238477403
X16S_OTU325_326	0.0459261546157689	0.191062589769159
X16S_OTU329_330	0.129915038719452	0.34164849039479
X16S_OTU336_337	0.0453666384233122	0.183834165193961
X16S_OTU349_350	0.110676712189308	0.317525339840515
X16S_OTU358_359	0.110525803596647	0.318106351119577
X16S_OTU37_38	0.0267810309154136	0.154064599455663
X16S_OTU373_374	0.132440499499137	0.331486716351077
X16S_OTU38_39	0.0924652296634514	0.288621899023901
X16S_OTU385_386	0.0229142822855108	0.198666951713544
X16S_OTU395_396	0.0638373779580114	0.242721689283985
X16S_OTU4_5	0.0648684238968559	0.2230928274417
X16S_OTU40_41	0.0267676491176799	0.157378548579979
X16S_OTU452_453	0.0296135121382862	0.156642793381562
X16S_OTU478_479	0.0900267881316779	0.276420596239201
X16S_OTU48_49	0.101789844083221	0.298970742980151
X16S_OTU488_489	0.104346779728494	0.309032527161216
X16S_OTU507_508	0.0700073119253763	0.254800611463638
X16S_OTU51_52	0.0407947290332873	0.184466927953316
X16S_OTU52_53	0.0389695860602924	0.186102246231586
X16S_OTU546_547	0.0339900584475092	0.174269898778635
X16S_OTU555_556	0.133180167046465	0.339225169202507
X16S_OTU557_558	0.0767361877594894	0.250791359597195
X16S_OTU561_562	0.0932041673743748	0.282557110805909
X16S_OTU562_563	0.0763129146813183	0.260520287435191
X16S_OTU581_582	0.0744606025621061	0.255070548584702
X16S_OTU59_60	0.0354009242812051	0.184952932975547
X16S_OTU592_593	0.0582282631902673	0.223328032671928
X16S_OTU6_7	0.0299170886682402	0.233694726168266
X16S_OTU61_62	0.0711741315529952	0.243360486606356
X16S_OTU615_616	0.0881346662227999	0.259855792779129
X16S_OTU63_64	0.0489426800407782	0.211764389611833
X16S_OTU633_634	0.0320125587035882	0.167538056793888
X16S_OTU648_649	0.0366003211781416	0.174552529802057
X16S_OTU651_652	0.105570885547696	0.296904225076067
X16S_OTU68_69	0.0908458729197863	0.283531302160422
X16S_OTU70_71	0.0299201439004537	0.159888840454013
X16S_OTU723_724	0.0593801785315062	0.225428701404803
X16S_OTU728_729	0.0845637304783637	0.283061233363483
X16S_OTU73_74	0.0752728684695621	0.262149256641149
X16S_OTU80_81	0.0314110534268658	0.311509185902852
X16S_OTU835_836	0.0811524052021237	0.277606884195197
X16S_OTU836_837	0.108194007532036	0.283320569181569
X16S_OTU85_86	0.0431873327285889	0.194742114537411
X16S_OTU913_914	0.0964493673418602	0.290327554090774
X16S_OTU93_94	0.0388700255701959	0.184576701825907
X16S_OTU949_950	0.0944493330333218	0.29914506195402
ITS_OTU1000_1001	0.231136516314529	0.480766592344486
ITS_OTU1051_1052	0.045867208589877	0.214166310585669
ITS_OTU1054_1055	0.201033258514294	0.448367325431162
ITS_OTU1084_1085	0.130488850678182	0.361232405354478
ITS_OTU1088_1089	0.0812037091778526	0.28496264523241
ITS_OTU1091_1092	0.112482180672048	0.335383632087269
ITS_OTU1107_1108	0.104053742865385	0.322573623945581
ITS_OTU1136_1137	0.201634435031592	0.449037231230988
ITS_OTU1145_1146	0.188700814966282	0.434397070623504
ITS_OTU1152_1153	0.198336774050845	0.445350170147992
ITS_OTU1189_1190	0.0982636840927401	0.313470387904089
ITS_OTU1197_1198	0.152172609682426	0.39009307822932
ITS_OTU1198_1199	0.087938533133564	0.29654431900403
ITS_OTU1202_1203	0.148658287634471	0.385562300587689
ITS_OTU1290_1291	0.216648511799533	0.465455166261513
ITS_OTU1386_1387	0.0944525836918127	0.307331390671068
ITS_OTU1404_1405	0.036555922862991	0.191196032550341
ITS_OTU1425_1426	0.197346925419639	0.444237465123822
ITS_OTU1481_1482	0.170983859058251	0.413501945652316
ITS_OTU1492_1493	0.124982048085891	0.353528001841285
ITS_OTU1502_1503	0.0250543902262902	0.158285786558017
ITS_OTU1537_1538	0.108037241407223	0.328690190616062
ITS_OTU1549_1550	0.0298763414266632	0.172847740588829
ITS_OTU1576_1577	0.128889659776429	0.359012060767364
ITS_OTU1584_1585	0.065971212834715	0.256848618518214
ITS_OTU1614_1615	0.150460271391048	0.387892087301414
ITS_OTU1631_1632	0.1439990235042	0.379472032571835
ITS_OTU1644_1645	0.0493023701809308	0.222041370426619
ITS_OTU1650_1651	0.09193637039362	0.303210109319627
ITS_OTU1660_1661	0.0323805459841034	0.179945952952834
ITS_OTU1666_1667	0.110668395195109	0.332668596647037
ITS_OTU1671_1672	0.209990036665624	0.458246698477603
ITS_OTU1676_1677	0.0954234512221274	0.308906864964389
ITS_OTU1713_1714	0.11391361739923	0.337510914489042
ITS_OTU1738_1739	0.0786050004245079	0.280365833197463
ITS_OTU1762_1763	0.0583012246995722	0.241456465433362
ITS_OTU1772_1773	0.12797831003959	0.357740562474526
ITS_OTU1786_1787	0.0283904784546445	0.168494743106853
ITS_OTU1800_1801	0.119622904450111	0.345865442694281
ITS_OTU1805_1806	0.117463329950518	0.342729237081574
ITS_OTU1808_1809	0.16589691144466	0.407304445648044
ITS_OTU1822_1823	0.0870287671184471	0.295006384877424
ITS_OTU1827_1828	0.0724647796323824	0.269192829830927
ITS_OTU1845_1846	0.0727043447070741	0.269637431947187
ITS_OTU1890_1891	0.0184837611467836	0.135954996770194
ITS_OTU1941_1942	0.15837418093713	0.397962537102589
ITS_OTU1953_1954	0.10221986165329	0.319718409938011
ITS_OTU2043_2044	0.135027880371212	0.367461399838421
ITS_OTU2054_2055	0.0858086234796111	0.292931089984677
ITS_OTU2081_2082	0.141865494618359	0.376650361234872
ITS_OTU2082_2083	0.16644233406505	0.407973447745132
ITS_OTU2103_2104	0.111216623235092	0.333491563963905
ITS_OTU2109_2110	0.0466006811147707	0.215871909045088
ITS_OTU2128_2129	0.101222806415076	0.318155318068198
ITS_OTU2129_2130	0.0179757954171294	0.134073843150442
ITS_OTU2154_2155	0.083993031460973	0.289815512802495
ITS_OTU2179_2180	0.0830379197464331	0.288163008983515
ITS_OTU2243_2244	0.136164354606633	0.369004545509446
ITS_OTU2349_2350	0.061722441559019	0.24844001601799
ITS_OTU2419_2420	0.0782203749024505	0.279679056960743
ITS_OTU2460_2461	0.0689084501507871	0.262504190729952
ITS_OTU2678_2679	0.0505025545611829	0.224727734294597
ITS_OTU2761_2762	0.044273324337058	0.210412272306199
ITS_OTU2877_2878	0.0840958293048224	0.289992809057091
ITS_OTU2911_2912	0.145290732660704	0.381170214813152
ITS_OTU2934_2935	0.0370732503951385	0.19254415180716
ITS_OTU3025_3026	0.0845859886481314	0.290836704437613
ITS_OTU3029_3030	0.0463579998487901	0.215309079810374
ITS_OTU3043_3044	0.0594099792363357	0.24374162393062
ITS_OTU3185_3186	0.0325682056384242	0.180466633033434
ITS_OTU3313_3313	0.152780854176496	0.390871915307938
ITS_OTU3327_3327	0.123586845945245	0.351549208426424
ITS_OTU3376_3376	0.18059794569256	0.424968170211087
ITS_OTU3421_3421	0.210150137661422	0.45842135384537
ITS_OTU3455_3455	0.176366791655098	0.419960464395279
ITS_OTU3467_3467	0.126180746964686	0.355219294189781
ITS_OTU3507_3507	0.17794073456073	0.421830220065763
ITS_OTU3573_3573	0.120470355372227	0.347088397057907
ITS_OTU3751_3751	0.0279713192235642	0.167246283138264
ITS_OTU3804_3804	0.113057259930662	0.336239884503105
ITS_OTU3820_3820	0.16131239333569	0.40163714137974
ITS_OTU3874_3874	0.106525578616341	0.326382564816722
ITS_OTU3962_3962	0.0722606597795926	0.268813429314074
ITS_OTU4268_4268	0.0686532350696514	0.262017623585994
ITS_OTU600_601	0.0897657178512399	0.299609275309093
ITS_OTU621_622	0.0676321383410158	0.260061797157937
ITS_OTU763_764	0.132481397762474	0.363979941428746
ITS_OTU776_777	0.156435640386743	0.39551945639468
ITS_OTU780_781	0.0949018087983718	0.308061371804989
ITS_OTU822_823	0.213133201769478	0.461663515744398
ITS_OTU850_851	0.203449333620427	0.451053581762108
ITS_OTU883_884	0.186917795677788	0.432339907570176
ITS_OTU892_893	0.142691179665671	0.377744860541703
ITS_OTU899_900	0.195669237730599	0.442345156784381
ITS_OTU905_906	0.137381740107514	0.370650428446418
ITS_OTU907_908	0.0329932594319863	0.181640467495507
ITS_OTU910_911	0.0463179180421881	0.215215979987984
ITS_OTU917_918	0.240597999771039	0.490507899804925
ITS_OTU921_922	0.0562510767937831	0.237173094582381
ITS_OTU998_999	0.180526216655355	0.424883768406555
elfDC	138.473051581048	0.175952495050163
elfPs	128.829095532283	0.186452311429799
elfPv	107.353594935432	0.163292011417831
flgPa	288.385051521991	0.202797855628152
flgPsHRm	211.844214086746	0.192408689675759
flgPsHRp	234.085987697249	0.207304255838727
flgPv	89.721722780901	0.137167885777916
day10_27C_cut	0.680534130282581	0.206236231401423
day10_30C_cut	0.237163869025071	0.121748683007526
day10_30C_uncut	0.161620449700909	0.201010229653188
day11_27C_cut	0.624806318188306	0.19774263322753
day11_27C_uncut	1.08177001832382	0.260020434091705
day12_27C_cut	0.610418732241403	0.195344344052115
day13_27C_cut	0.642929393029011	0.200457195092402
day13_27C_uncut	1.14520638809484	0.267535790607402
day3_27C_cut	0.0692634068837863	0.142436228590848
day3_27C_uncut	0.113483618235172	0.133701102161147
day3_30C_cut	0.49856253067496	0.232518722716524
day3_30C_uncut	0.563452997416973	0.187870119569897
day4_27C_cut	0.231649937163618	0.195063733795341
day4_27C_uncut	0.415536286976958	0.21487368045667
day4_30C_cut	0.848984684242433	0.23091087109231
day4_30C_uncut	1.18918555536158	0.272624461870352
day5_27C_cut	0.504216189171665	0.198391209948044
day5_27C_uncut	0.685083643530354	0.206924449306135
day5_30C_cut	0.490068374066906	0.176257024464182
day5_30C_uncut	1.5032490208333	0.306517640278796
day6_27C_cut	0.602901693736301	0.194116861345219
day6_27C_uncut	0.99355335603355	0.249192866575464
day6_30C_cut	0.355197006761524	0.149158636669154
day6_30C_uncut	0.790201960755872	0.223935732978171
day7_27C_cut	0.680743462277948	0.206267948049065
day7_27C_uncut	1.0814061451857	0.259976699098412
day7_30C_cut	0.315336591210546	0.140431824345765
day7_30C_uncut	0.52603363014549	0.181320439785737
day8_27C_uncut	0.977339952693756	0.247151263487282
day9_27C_uncut	0.905395936351374	0.237880739073093
LB_vs_PR_DhighN_vs_lowN	0.022929932265316	0.217123494555622
LB_vs_PR_highN	0.0111923101117294	0.166681562387854
LB_vs_PR_lowN	0.0178313932298338	0.219968707575448
LR_count_DhighN_vs_lowN	10.4276197997429	0.200570343359831
LR_count_highN	11.0574446792644	0.158095417999106
LR_count_lowN	2.48058874916022	0.194443023673438
LRdensity_DhighN_vs_lowN	0.17747239060451	0.19358763512102
LRdensity_highN	0.178063348191736	0.165124033619797
LRdensity_lowN	0.142933315313069	0.191894565430639
LRlengthave_DhighN_vs_lowN	0.0449658415619611	0.131295385319466
LRlengthave_highN	0.0224345824446779	0.200569651138937
LRlengthave_lowN	0.0476289094015714	0.13186059039183
LRtot_DhighN_vs_lowN	3.8333325301566	0.129214034544741
LRtot_highN	4.82358325614449	0.136658762722107
