Locus	TAIR.internal.locus.id	GO.term	category	Evidence.code
AT4G11240	2128258	RNA metabolic process	proc	IEA
AT4G11240	2128258	protein dephosphorylation	proc	ISS
AT4G11240	2128258	myosin phosphatase activity	func	IEA
AT4G11240	2128258	macromolecule modification	proc	IEA
AT4G11240	2128258	protein serine/threonine phosphatase activity	func	IBA
AT4G11745	1005716195	biological_process_unknown	proc	ND
AT4G11745	1005716195	molecular_function_unknown	func	ND
AT4G11750	2139687	biological_process_unknown	proc	ND
AT4G11750	2139687	molecular_function_unknown	func	ND
AT4G11770	2139722	molecular_function_unknown	func	ND
AT4G11770	2139722	biological_process_unknown	proc	ND
AT4G11850	2137045	membrane lipid metabolic process	proc	IMP
AT4G11850	2137045	protein binding	func	IPI
AT4G11850	2137045	defense response to bacterium	proc	IGI
AT4G11850	2137045	phosphatidylcholine metabolic process	proc	IEA
AT4G11850	2137045	embryo development ending in seed dormancy	proc	IMP
AT4G11850	2137045	phosphatidylinositol-4,5-bisphosphate binding	func	IDA
AT4G11850	2137045	innate immune response	proc	IDA
AT4G11850	2137045	response to oxidative stress	proc	IMP
AT4G11850	2137045	phospholipase D activity	func	ISS
AT4G11850	2137045	phospholipid catabolic process	proc	IBA
AT4G11850	2137045	response to aluminum ion	proc	IMP
AT4G11850	2137045	N-acylphosphatidylethanolamine-specific phospholipase D activity	func	IEA
AT4G11850	2137045	protein binding	func	IPI
AT4G11850	2137045	calcium ion binding	func	IEA
AT4G11850	2137045	phospholipase D activity	func	IDA
AT4G11850	2137045	phospholipase D activity	func	IBA
AT5G10170	2184153	embryo development ending in seed dormancy	proc	IGI
AT5G10170	2184153	inositol biosynthetic process	proc	IBA
AT5G10170	2184153	inositol-3-phosphate synthase activity	func	IBA
AT5G10170	2184153	inositol biosynthetic process	proc	IEA
AT5G10170	2184153	inositol-3-phosphate synthase activity	func	IGI
AT5G25415	505006637	molecular_function_unknown	func	ND
AT5G25415	505006637	biological_process_unknown	proc	ND
AT5G45830	2152390	sequence-specific DNA binding	func	IEA
AT5G45830	2152390	DNA-templated transcription	proc	IEA
AT5G45830	2152390	abscisic acid-activated signaling pathway	proc	IMP
AT5G45830	2152390	seed dormancy process	proc	IMP
AT5G45830	2152390	regulation of seed dormancy process	proc	IMP
AT5G45830	2152390	sugar mediated signaling pathway	proc	IMP
AT5G45830	2152390	identical protein binding	func	IPI
AT5G45830	2152390	protein binding	func	IPI
AT5G53150	2163786	flower development	proc	IEA
AT5G53150	2163786	regulation of reproductive process	proc	IEA
AT5G53150	2163786	regulation of biological quality	proc	IEA
AT5G53150	2163786	regulation of developmental process	proc	IEA
AT5G53150	2163786	photoperiodism, flowering	proc	IEA
AT5G53150	2163786	positive regulation of macromolecule metabolic process	proc	IEA
AT5G53150	2163786	regulation of DNA-templated transcription	proc	IEA
AT5G53150	2163786	protein metabolic process	proc	IEA
AT5G53150	2163786	phyllome development	proc	IEA
AT5G53150	2163786	molecular_function_unknown	func	ND
