perc_miss	id
0.0382368560807223	88
0.0238980350504514	108
0.0260223048327138	139
0.0557620817843866	159
0.0424853956452469	265
0.0217737652681891	350
0.0217737652681891	351
0.0387679235262878	403
0.0260223048327138	410
0.0217737652681891	424
0.0238980350504514	428
0.247477429633563	430
0	470
0	476
0	484
0	504
0	506
0	531
0	544
0	546
0	628
0.00159320233669676	630
0	680
0	681
0	685
0	687
0	728
0	742
0.0430164630908125	763
0.0424853956452469	765
0.0228359001593202	766
0.0228359001593202	768
0.0228359001593202	772
0.0185873605947955	801
0	853
0	854
0	867
0	868
0.00159320233669676	870
0.0185873605947955	915
0.0185873605947955	932
0.00690387679235263	991
0.0207116303770579	992
0.0106213489113117	997
0.0106213489113117	1002
0.000531067445565587	1006
0.01805629314923	1061
0.015400955921402	1062
0.015400955921402	1063
0.00531067445565587	1066
0.0132766861391397	1070
0.0132766861391397	1158
0.0143388210302708	1166
0.015400955921402	1254
0.0132766861391397	1257
0.0116834838024429	1313
0.0159320233669676	1317
0.0302708443972384	1552
0	1612
0	1622
0	1651
0	1652
0	1676
0	1684
0	1739
0	1741
0	1756
0	1757
0	1793
0	1797
0	1819
0	1820
0.0589484864577801	1829
0	1834
0	1835
0	1851
0	1852
0.00159320233669676	1853
0.00159320233669676	1872
0.0185873605947955	1890
0.268720127456187	1925
0	1942
0	1943
0.0185873605947955	1954
0.00159320233669676	2016
0	2017
0	2031
0	2053
0.345724907063197	2057
0	2081
0	2091
0	2106
0	2108
0	2141
0	2159
0	2166
0.0318640467339352	2171
0	2191
0.00159320233669676	2202
0	2212
0	2239
0	2240
0.00159320233669676	2276
0.00159320233669676	2278
0	2285
0	2286
0.0185873605947955	2317
0	2370
0	2412
0.0217737652681891	4779
0.0217737652681891	4807
0.0217737652681891	4826
0	4840
0	4857
0.0217737652681891	4884
0.0217737652681891	4900
0	4939
0.0387679235262878	4958
0.0238980350504514	5023
0.0217737652681891	5104
0.0424853956452469	5151
0.0446096654275093	5165
0.0217737652681891	5210
