pheno N h2.bslmm h2
NA NA NA NA
dormancy 177 0.9217 0.547
root RGR 163 0.9401 0.807
NA NA NA NA
NA NA NA NA
stomata density 330 0.2194 0.332
NA NA NA NA
NA NA NA NA
NA NA NA NA
growth rate 420 0.8453 0.832
RGR 420 0.5271 0.45
ABA 269 0.4576 0.274
