trait	fitness	env	mean.x	se.x	signi.x	param.x	lower.x	upper.x	mean.y	se.y	signi.y	param.y	lower.y	upper.y
DSDS10	rFitness	thp	0.019	0.021	ns	beta	-0.02216	0.06016	0.064	0.017	***	z	0.03068	0.09732
DSDS10	rSeeds	mli	-0.035	0.029	ns	beta	-0.09184	0.02184	-0.068	0.027	**	z	-0.12092	-0.01508
DSDS10	rSeeds	mlp	0.077	0.038	**	beta	0.00252000000000001	0.15148	0.01	0.033	ns	z	-0.05468	0.07468
DSDS10	rSeeds	thi	-0.002	0.01	ns	beta	-0.0216	0.0176	0.034	0.009	***	z	0.01636	0.05164
DSDS10	rSeeds	thp	-0.013	0.012	ns	beta	-0.03652	0.01052	0.029	0.011	***	z	0.00744	0.05056
DSDS10	rSurvival_fruit	mli	0.077	0.034	*	beta	0.01036	0.14364	0.159	0.029	***	z	0.10216	0.21584
DSDS10	rSurvival_fruit	mlp	0.059	0.092	ns	beta	-0.12132	0.23932	0.186	0.077	**	z	0.03508	0.33692
DSDS10	rSurvival_fruit	thi	0	0.006	ns	beta	-0.01176	0.01176	0.002	0.006	ns	z	-0.00976	0.01376
DSDS10	rSurvival_fruit	thp	0.03	0.014	*	beta	0.00256	0.05744	0.035	0.013	**	z	0.00952	0.06048
FT16	rFitness	mli	0.163	0.071	**	beta	0.02384	0.30216	0.043	0.055	ns	z	-0.0648	0.1508
FT16	rFitness	mlp	0.342	0.129	**	beta	0.08916	0.59484	0.136	0.09	ns	z	-0.0404	0.3124
FT16	rFitness	thi	-0.009	0.015	ns	beta	-0.0384	0.0204	-0.053	0.01	***	z	-0.0726	-0.0334
FT16	rFitness	thp	0.012	0.024	ns	beta	-0.03504	0.05904	-0.049	0.016	**	z	-0.08036	-0.01764
FT16	rSeeds	mli	0.028	0.06	ns	beta	-0.0896	0.1456	0.057	0.049	ns	z	-0.03904	0.15304
FT16	rSeeds	mlp	0.02	0.029	ns	beta	-0.03684	0.07684	0.056	0.024	**	z	0.00896	0.10304
FT16	rSeeds	thi	-0.005	0.011	ns	beta	-0.02656	0.01656	-0.048	0.008	***	z	-0.06368	-0.03232
FT16	rSeeds	thp	0.014	0.013	ns	beta	-0.01148	0.03948	-0.038	0.009	***	z	-0.05564	-0.02036
FT16	rSurvival_fruit	mli	0.17	0.05	***	beta	0.072	0.268	0.025	0.032	ns	z	-0.03772	0.08772
FT16	rSurvival_fruit	mlp	0.29	0.114	**	beta	0.06656	0.51344	0.056	0.077	ns	z	-0.09492	0.20692
FT16	rSurvival_fruit	thi	-0.005	0.009	ns	beta	-0.02264	0.01264	-0.007	0.007	ns	z	-0.02072	0.00672
FT16	rSurvival_fruit	thp	0.002	0.019	ns	beta	-0.03524	0.03924	-0.016	0.013	ns	z	-0.04148	0.00948
Growth_rate	rFitness	mli	-0.241	0.065	***	beta	-0.3684	-0.1136	-0.132	0.037	***	z	-0.20452	-0.05948
Growth_rate	rFitness	mlp	-0.54	0.142	***	beta	-0.81832	-0.26168	-0.231	0.079	**	z	-0.38584	-0.07616
Growth_rate	rFitness	thi	-0.018	0.017	ns	beta	-0.05132	0.01532	-0.065	0.01	***	z	-0.0846	-0.0454
Growth_rate	rFitness	thp	-0.037	0.028	ns	beta	-0.09188	0.01788	-0.087	0.014	***	z	-0.11444	-0.05956
Growth_rate	rSeeds	mli	0.001	0.049	ns	beta	-0.09504	0.09704	0.071	0.03	**	z	0.0122	0.1298
Growth_rate	rSeeds	mlp	-0.023	0.031	ns	beta	-0.08376	0.03776	0.045	0.022	*	z	0.00188	0.08812
Growth_rate	rSeeds	thi	-0.011	0.014	ns	beta	-0.03844	0.01644	-0.06	0.007	***	z	-0.07372	-0.04628
Growth_rate	rSeeds	thp	-0.025	0.015	*	beta	-0.0544	0.0044	-0.061	0.009	***	z	-0.07864	-0.04336
Growth_rate	rSurvival_fruit	mli	-0.239	0.047	***	beta	-0.33112	-0.14688	-0.188	0.025	***	z	-0.237	-0.139
Growth_rate	rSurvival_fruit	mlp	-0.517	0.118	***	beta	-0.74828	-0.28572	-0.28	0.058	***	z	-0.39368	-0.16632
Growth_rate	rSurvival_fruit	thi	-0.004	0.009	ns	beta	-0.02164	0.01364	-0.006	0.005	ns	z	-0.0158	0.0038
Growth_rate	rSurvival_fruit	thp	-0.011	0.024	ns	beta	-0.05804	0.03604	-0.029	0.013	*	z	-0.05448	-0.00352
Relative_root_growth_rate_day002.day003	rFitness	mli	0.159	0.063	**	beta	0.03552	0.28248	0.065	0.056	ns	z	-0.04476	0.17476
Relative_root_growth_rate_day002.day003	rFitness	mlp	-0.061	0.149	ns	beta	-0.35304	0.23104	-0.187	0.126	*	z	-0.43396	0.05996
Relative_root_growth_rate_day002.day003	rFitness	thi	-0.001	0.016	ns	beta	-0.03236	0.03036	-0.032	0.015	**	z	-0.0614	-0.0026
Relative_root_growth_rate_day002.day003	rFitness	thp	-0.009	0.023	ns	beta	-0.05408	0.03608	-0.05	0.018	*	z	-0.08528	-0.01472
Relative_root_growth_rate_day002.day003	rSeeds	mli	0.014	0.042	ns	beta	-0.06832	0.09632	0.028	0.037	ns	z	-0.04452	0.10052
Relative_root_growth_rate_day002.day003	rSeeds	mlp	0.029	0.036	ns	beta	-0.04156	0.09956	-0.005	0.034	ns	z	-0.07164	0.06164
Relative_root_growth_rate_day002.day003	rSeeds	thi	-0.005	0.015	ns	beta	-0.0344	0.0244	-0.035	0.013	***	z	-0.06048	-0.00952
Relative_root_growth_rate_day002.day003	rSeeds	thp	0.008	0.01	ns	beta	-0.0116	0.0276	-0.028	0.009	**	z	-0.04564	-0.01036
Relative_root_growth_rate_day002.day003	rSurvival_fruit	mli	0.115	0.037	**	beta	0.04248	0.18752	0.033	0.034	ns	z	-0.03364	0.09964
Relative_root_growth_rate_day002.day003	rSurvival_fruit	mlp	-0.059	0.095	ns	beta	-0.2452	0.1272	-0.155	0.084	*	z	-0.31964	0.00964000000000001
Relative_root_growth_rate_day002.day003	rSurvival_fruit	thi	0.005	0.007	ns	beta	-0.00872	0.01872	0.001	0.007	ns	z	-0.01272	0.01472
Relative_root_growth_rate_day002.day003	rSurvival_fruit	thp	-0.015	0.021	ns	beta	-0.05616	0.02616	-0.024	0.016	ns	z	-0.05536	0.00736
RGR	rFitness	mli	-0.081	0.045	*	beta	-0.1692	0.0072	0.025	0.029	ns	z	-0.03184	0.08184
RGR	rFitness	mlp	-0.063	0.1	ns	beta	-0.259	0.133	-0.025	0.062	ns	z	-0.14652	0.09652
RGR	rFitness	thi	0.013	0.013	ns	beta	-0.01248	0.03848	0.058	0.008	***	z	0.04232	0.07368
RGR	rFitness	thp	0.022	0.02	ns	beta	-0.0172	0.0612	0.067	0.011	***	z	0.04544	0.08856
RGR	rSeeds	mli	-0.029	0.035	ns	beta	-0.0976	0.0396	-0.062	0.024	***	z	-0.10904	-0.01496
RGR	rSeeds	mlp	-0.049	0.025	*	beta	-0.098	0	-0.07	0.018	***	z	-0.10528	-0.03472
RGR	rSeeds	thi	0.017	0.01	*	beta	-0.0026	0.0366	0.054	0.007	***	z	0.04028	0.06772
RGR	rSeeds	thp	0.025	0.012	*	beta	0.00148	0.04852	0.052	0.007	***	z	0.03828	0.06572
RGR	rSurvival_fruit	mli	-0.037	0.037	ns	beta	-0.10952	0.03552	0.076	0.02	***	z	0.0368	0.1152
RGR	rSurvival_fruit	mlp	0.044	0.085	ns	beta	-0.1226	0.2106	0.066	0.045	ns	z	-0.0222	0.1542
RGR	rSurvival_fruit	thi	-0.001	0.007	ns	beta	-0.01472	0.01272	0.004	0.004	ns	z	-0.00384	0.01184
RGR	rSurvival_fruit	thp	-0.002	0.017	ns	beta	-0.03532	0.03132	0.02	0.009	*	z	0.00236	0.03764
Root_horizontal_index_day001	rFitness	mli	0.083	0.063	ns	beta	-0.04048	0.20648	0.025	0.038	ns	z	-0.04948	0.09948
Root_horizontal_index_day001	rFitness	mlp	-0.108	0.101	ns	beta	-0.30596	0.08996	0.125	0.062	*	z	0.00348	0.24652
Root_horizontal_index_day001	rFitness	thi	0.002	0.012	ns	beta	-0.02152	0.02552	-0.011	0.007	ns	z	-0.02472	0.00272
Root_horizontal_index_day001	rFitness	thp	-0.038	0.02	*	beta	-0.0772	0.0012	-0.022	0.011	*	z	-0.04356	-0.000439999999999999
Root_horizontal_index_day001	rSeeds	mli	0.048	0.046	ns	beta	-0.04216	0.13816	0.057	0.027	*	z	0.00408	0.10992
Root_horizontal_index_day001	rSeeds	mlp	0.017	0.037	ns	beta	-0.05552	0.08952	0.079	0.019	***	z	0.04176	0.11624
Root_horizontal_index_day001	rSeeds	thi	0.009	0.011	ns	beta	-0.01256	0.03056	-0.007	0.006	ns	z	-0.01876	0.00476
Root_horizontal_index_day001	rSeeds	thp	0.006	0.012	ns	beta	-0.01752	0.02952	-0.008	0.007	ns	z	-0.02172	0.00572
Root_horizontal_index_day001	rSurvival_fruit	mli	0.019	0.046	ns	beta	-0.07116	0.10916	-0.044	0.026	*	z	-0.09496	0.00696
Root_horizontal_index_day001	rSurvival_fruit	mlp	-0.096	0.108	ns	beta	-0.30768	0.11568	0.019	0.054	ns	z	-0.08684	0.12484
Root_horizontal_index_day001	rSurvival_fruit	thi	-0.006	0.007	ns	beta	-0.01972	0.00772	-0.004	0.005	ns	z	-0.0138	0.0058
Root_horizontal_index_day001	rSurvival_fruit	thp	-0.042	0.017	*	beta	-0.07532	-0.00868	-0.013	0.01	ns	z	-0.0326	0.0066
stomata_density	rFitness	mli	0	0.039	ns	beta	-0.07644	0.07644	-0.007	0.011	ns	z	-0.02856	0.01456
stomata_density	rFitness	mlp	0.01	0.065	ns	beta	-0.1174	0.1374	0.039	0.022	*	z	-0.00412	0.08212
stomata_density	rFitness	thi	-0.027	0.008	***	beta	-0.04268	-0.01132	-0.02	0.003	***	z	-0.02588	-0.01412
stomata_density	rFitness	thp	-0.035	0.013	**	beta	-0.06048	-0.00952	-0.018	0.005	***	z	-0.0278	-0.0082
stomata_density	rSeeds	mli	0.025	0.036	ns	beta	-0.04556	0.09556	0.014	0.01	ns	z	-0.0056	0.0336
stomata_density	rSeeds	mlp	0.029	0.018	ns	beta	-0.00628	0.06428	0.03	0.005	***	z	0.0202	0.0398
stomata_density	rSeeds	thi	-0.022	0.007	***	beta	-0.03572	-0.00828	-0.017	0.002	***	z	-0.02092	-0.01308
stomata_density	rSeeds	thp	-0.009	0.008	ns	beta	-0.02468	0.00668	-0.017	0.003	***	z	-0.02288	-0.01112
stomata_density	rSurvival_fruit	mli	-0.013	0.031	ns	beta	-0.07376	0.04776	-0.011	0.009	ns	z	-0.02864	0.00664
