paper	phenotype	numaccessions	phenotypecategory	stressstrategy	pve	rho	raw_var	imp_var	rawquant_var	impquant_var	n
Kliebenstein_Chan_PlosGen_2010_PID_21079692	trehalose_exp2	92	Metabolite	Tolerance	7.67562e-06	1	2.52310176046554	0.214797178079698	0.986159207965985	0.996299031145101	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	tyrosine_exp1	92	Metabolite	Tolerance	0.335962	1	4.12116976938561	0.304829779609998	0.990646645950945	0.998518879936525	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	tyrosine_exp2	92	Metabolite	Tolerance	7.67562e-06	1	2.1526587215075	0.469289725877247	0.986113537775475	0.997872995087136	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	urea_exp1	92	Metabolite	Tolerance	7.67562e-06	1	1.27261494990916	0.0913379632840041	0.989204345355412	0.997418419000961	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	urea_exp2	92	Metabolite	Tolerance	0.008733	1	1.61091735775472	0.123446901243703	0.989015673590332	0.998684990027955	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	valine_exp1	92	Metabolite	Tolerance	0.469394	1	5.35976796699327	0.432779333876185	0.992560092404103	0.998970690728122	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	valine_exp2	92	Metabolite	Tolerance	7.67562e-06	1	5.15833155975155	0.421534716927022	0.988524197084485	0.997928049168767	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X1_2_4_benzenetriol_exp1	92	Metabolite	Tolerance	7.67562e-06	1	4.65231736941389	0.327876322023898	0.991533926826568	0.997594358134356	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X1_2_4_benzenetriol_exp2	92	Metabolite	Tolerance	7.67562e-06	1	4.39922979618215	0.388897136746465	0.993876483819261	0.999154760359088	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X1_hexadecanol_exp1	92	Metabolite	Tolerance	0.573265	0.643432	3.18954518535614	0.20917214166242	0.994611081771463	0.999157637375077	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X1_monostearin_exp2	92	Metabolite	Tolerance	0.00957825	1	2.60334705596016	0.265676695932143	0.990901075041948	0.998812909162883	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X2_palmitoleic_acid_exp1	92	Metabolite	Tolerance	0.55681	1	1.5364721148079	0.10980938581357	0.98113994513826	0.998512544040051	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X2_palmitoleic_acid_exp2	92	Metabolite	Tolerance	7.67562e-06	1	1.53662240938565	0.166883605599403	0.960703601776936	0.997197522407029	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X4_hydroxybenzoate_exp2	92	Metabolite	Tolerance	0.0657984	1	5.13432724052814	0.448962397689244	0.995254089134317	0.998045734683772	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X4_hydroxyproline_exp1	92	Metabolite	Tolerance	7.67562e-06	1	2.85544775528648	0.310636619489808	0.991387173394396	0.998914876081859	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X4_hydroxyproline_exp2	92	Metabolite	Tolerance	7.67562e-06	1	3.18288389738209	0.28747012129583	0.991386353960302	0.998906007441369	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	X5_aminovaleric_acid_exp1	92	Metabolite	Tolerance	0.930464	0.6175	5.49735244683128	0.392262112082909	0.993560996220469	0.999111673488493	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	xylonic_acid_exp2	92	Metabolite	Tolerance	7.67562e-06	1	2.10001932879296	0.163398191528952	0.985226026695782	0.99863045385284	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	xylose_1_exp1	92	Metabolite	Tolerance	0.480479	0.609225	4.97394578632091	0.35828594889916	0.994693835518863	0.999173319376572	69
Kliebenstein_Chan_PlosGen_2010_PID_21079692	xylose_1_exp2	92	Metabolite	Tolerance	0.820556	0.928119	1.40363715483185	0.113613021367205	0.99007285560042	0.998763462973208	69
Kliebenstein_Fordyce_PlantPhys_2018_PID_30266748	Lesion_0_m_cx_Apple517	92	Defense	NA	7.99197e-06	1	44737.842950479	3262.86546406058	0.996301227802559	0.998429826623975	72
