h_mean	h_median	h_2.5%	h_97.5%	PVE_mean	PVE_median	PVE_2.5%	PVE_97.5%	rho_mean	rho_median	rho_2.5%	rho_97.5%	PGE_mean	PGE_median	PGE_2.5%	PGE_97.5%	pi_mean	pi_median	pi_2.5%	pi_97.5%	n.gamma_mean	n.gamma_median	n.gamma_2.5%	n.gamma_97.5%	pheno
0.929688532834	0.93048435	0.88242728	0.97206511	0.924978786327	0.9255072	0.90055566	0.9460572225	0.369694942708588	0.36103675	0.04972277	0.7415140975	0.00698884701872286	0.006242968	8.725208925e-05	0.01855414	0.2698280508486	0.16479875	0.031982432	0.9161075825	10.39575	7	1	35	FT10
0.93962150455	0.9405464	0.8983657975	0.9749234925	0.936123630103	0.936742	0.9127934	0.9559410175	0.352026286209372	0.3426229	0.04330746	0.717938867499999	0.00653569321865724	0.0057945905	7.30166775000001e-06	0.01776505	0.3189807355753	0.2349014	0.0311554825	0.9236609	11.72577	9	1	34	FT16
0.99257123276	0.9937381	0.9808585	0.9977025	0.921555399134	0.9217413	0.8514355	0.9669419	0.996793327911	0.9977839	0.987248	0.9997236	0.96555194499	0.9668804	0.9045041	0.9963115	0.001221649411546	0.001157225	0.0009926758	0.001575755	127.94062	123	114	159	DSDS10
0.986988094751	0.9919768	0.934365	0.9984242	0.867108560697	0.8801546	0.6571023	0.9686432	0.991179637716	0.9942567	0.9636945275	0.9990935	0.889403196554	0.9113734	0.7170073	0.9876908	0.000272829708694	0.0002510181	0.0001916023	0.0005199626	31.69344	32	18	54	DSDS50
0.908038280136	0.930757	0.6990646	0.9852052	0.721369760222	0.7323655	0.4839954425	0.8988748	0.86331993735195	0.9043147	0.5068937025	0.9911122	0.550964232033999	0.5426268	0.2191978	0.9066782	0.00027451539010591	0.0001900653	1.815320125e-05	0.0007623452	29.63125	22	2	77	DSDS90
0.968454509292	0.9723829	0.9217863	0.992094	0.819394782233	0.8282181	0.6513605	0.9385771	0.971038222786	0.9782582	0.9053944	0.99889	0.829002616929	0.8418008	0.5784051025	0.9907701	0.000654777485684	0.0006226489	0.000376007	0.001112503	70.39671	66	43	112	FT
0.995491948341	0.9958969	0.9923433	0.998522	0.917230767943	0.9183223	0.8951846	0.93683	0.99853229282	0.9988914	0.9946671	0.9999876	0.970502748977	0.976262	0.9131358	0.9992719	0.000383714365696	0.000371166	0.0003629791	0.0004398749	32.22079	33	28	36	GAS
0.945614608832	0.9573377	0.8350407	0.9816855	0.681825815933	0.6910234	0.4891195	0.8199092	0.969831485697742	0.9865529	0.839170595	0.9993588	0.803549573368095	0.862149	0.2904067	0.993073	0.001146596880625	0.001031946	0.00051670706	0.001842155	119.13232	107	56	179	SS
0.983214489562	0.9948862	0.8826357	0.9998964	0.8865279901855	0.9383519	0.5151768	0.9991607	0.963462988148942	0.9770287	0.84443497	0.996287	0.695338529739235	0.7198993	0.28237437	0.9364458	0.001270246518062	0.001297676	0.0004162541	0.001619239	133.8265	136	47	157	t10
0.8420156992875	0.89881075	0.442652365	0.9912999	0.61659974821717	0.6211597	0.2833353425	0.912678997499999	0.780060844222808	0.8816594	0.11528748	0.9955718025	0.363165719459528	0.3216479	0.00159479015	0.9314727	0.00022997930951256	0.0001427115	1.290355225e-05	0.0008137039	25.51642	16	1	83	t50
0.6579933392745	0.6716495	0.3032628875	0.935241845	0.51130944700954	0.5148314	0.21802916	0.7821980025	0.474268296539169	0.46549645	0.02338723425	0.957600605	0.0936983438967071	0.03713284	0.0006313225	0.561837567499999	0.00164403009095666	0.0018538815	2.717212225e-05	0.002810087	169.53741	192	3	282	U8416
0.796473634635567	0.8859746	0.15751437	0.9960758	0.660838933893263	0.7247539	0.07721645475	0.9894298575	0.754850469154184	0.8573085	0.096553481	0.9968751	0.5825506618541	0.64452255	0.01645856275	0.9874337	0.0024708346572036	0.00295352	4.4257096e-05	0.004150057375	183.92763	221	3	296	HL23_mm_
0.90815054958729	0.9674882	0.480517515	0.9999959	0.857651969211765	0.9371439	0.324182005	0.9999905	0.523018214311427	0.5335036	0.03092484675	0.9709942	0.315279541085018	0.241537	0.001114937	0.906095367499999	0.0006060012825225	0.0003972832	2.08986045e-05	0.002934118	44.99015	30	1	222	HL27_mm_
0.507910406499765	0.5200579	0.03113801925	0.9634249	0.385324809981524	0.3687492	0.012801807	0.9155013	0.658766019295817	0.73370495	0.0587767595	0.9911593	0.485750699382606	0.5197635	0.0002174369775	0.9799851725	0.0002074174480911	0.0001208315	1.63852395e-05	0.000890757	15.65647	9	1	65	SensHL
0.362480577964699	0.29860425	0.01169076975	0.95901687	0.225345806660079	0.1436986	0.0043582638	0.871318419999998	0.609505495423632	0.66563645	0.042592183	0.98820355	0.322586994688199	0.23408395	0	0.9378614	0.0002323308371279	9.38322e-05	1.511255775e-05	0.001064296975	17.17554	7	0	77	VarTemp
