id	FT16	DSDS10	X116_DTFplantingSummerLocSweden2009	X118_DTFlocSweden2009	X120_DTFplantingLoc2008	Average_root_width_day001	Euclidian_length_day001	Relative_root_growth_rate_day001.day002	Relative_root_growth_rate_day004.day005	Root_angle_day001	Root_angle_day003	Root_directional_equivalent_day002	Root_growth_rate_day004.day005	Root_linearity_avg	Root_linearity_day001	Root_linearity_day002	Root_tortuosity_day003	Root_tortuosity_day005	Root_width_100_day001	Root_width_100_day004	Root_width_100_day005	Root_width_40_day002	FT_tli	FT_tlp	RosetteArea_mild_drought	RosetteArea_well_watered	StomatalIndex_mild_drought	StomatalIndex_well_watered	RGRav	RGRbv	leucine_exp1	proline_exp1	rhamnose_1_exp2	Delta_13C	stomata_density	stomatasize	First_leaf_area	Stomatal_density_in_cotyledon	Stomatal_density_in_first_leaf	Stomatal_index_in_first_leaf	X29_FLC	X32_FT_Duration_GH	X39_After_Vern_Growth	X45_Germ_22	X59_Germ_10	X6_Leaf_serr_10	X60_Germ_16	X68_Germ_in_dark	X69_FRI	X72_Vern_Growth	X77_Trichome_avg_JA	X90_Seedling_Growth	X92_Leaf_serr_22	X94_Seed_Dormancy	X294_Germination_rate_21C	Germination_22C	Germination_30C	d8_10C_perc	DTgerm	germination_3days	Growth_rate	RGR	ABA_96h_low_water_potential	drought_index
88	50.5	177.440425969663	9.3610656	1.68307992999989	7.35778738000001	4.79864336188	127.5776022892	1.21859584032	0.26972318469	-1.62936857528	-2.11420958446	0.32551930534	147.531845835	0.60851939745	0.63993573403	0.57728787641	1.10196535928	1.09504778535	4.0864773771	3.96888052219	4.09981188234	4.36243293738	161.148022281578	165.263095833342	246.862727006	674.902952372	43.491364	46.825424	0.13872225642	0.27972781958	2.46454950856491	5.67138826903913	7.88483092505248	-35.6947313016009	134.083386243383	108.942966393899	26.012	33.1155	56.0277	22.0441	1.21586	22.09852	0.085431618	2.08	5.85	0.67	3.01	63.19501472	0.988637	0.0034395243	41.303	0.0077969633	0.8	47.6	31.93849717761	0.678387959433787	0.183020003008939	60.95238095	2	41.237	4.7686	100.4288787	87.862	-4.43140167380953e-05
108	52.25	140.02643311828	10.1098424	-2.88897510000011	6.42954865000001	4.77661462617	132.4337264884	1.19176063632	0.265515144	-2.02923556745	-3.4356771963	0.32238269567	155.759170216	0.6113822876	0.62653258856	0.57726047774	1.10064166563	1.09607464773	4.08566274098	3.98458358084	4.09718153898	4.32480829007	162.552257314552	165.649511508911	248.123724439	666.567084434	44.713929	47.217792	0.14706227156	0.27993551628	2.46696047594065	5.83299521186411	8.09577188877943	-36.3892647571292	130.712089947083	111.115255222528	25.288	35.5409	59.7688999999999	21.9655	0.721190000000001	21.448964	0.091343684	2.04	5.76	0.7075	3.03	59.17079548	0.947337	0.0034730729	38.942	0.0076228923	0.825	33.76	54.00815286137	0.732962320261438	0.263931055226636	54.80769231	5	37.75	4.769754098	107.9880619	92.624	-5.53603526666667e-05
139	52.75	113.868683942455	10.813581	-0.98922937	6.35638734000001	4.78393443709	134.990325027	1.13741523017	0.26513820107	-1.5730124007	-3.09775393022	0.3205862524	154.642274557	0.61092654727	0.63124196489	0.58728361344	1.10061300864	1.09584706066	4.11085391279	4.00968883799	4.09758370707	4.33529537914	163.159179228857	166.60997222325	248.009610472	668.779812006	44.240996	48.133608	0.14916114115	0.28163790311	2.5909825321981	5.91739807954054	8.30349507633205	-36.828740517	173.3333333333	96.3193726241	25.183	36.1369	60.662	22.0898	0.5718	21.455537	0.088220593	2.05	5.85	0.7125	3.03	56.9913613	1.042551	0.00339153684	38.604	0.0077405754	0.82	27.76	59.98174075227	0.723928986928105	0.328868716842798	69.56521739	3	38.677	4.96559322	141.749513	84.746	-9.88554911278196e-05
159	56.75	125.673864712032	10.494095	-0.968214640000107	6.04927547	4.76740681822	140.653876132	1.10117062574	0.26555367105	-1.54430958446	-4.02180633799	0.32286359414	155.520233303	0.60899158151	0.61625680641	0.58637314549	1.10304168462	1.0983037071	4.10534417963	4.0695326586	4.1022965716	4.32932730045	161.4	167	259.600820385	666.635420452	44.294588	46.795229	0.14791081056	0.28478648378	2.97090135267703	6.28932142961195	8.30096666137417	-35.9734225746922	133.852645502641	111.8562485053	25.683	37.1536	59.3085	21.9806	0.59088	21.835805	0.091049114	2.07	5.75	0.7025	3.06	50.98897778	0.957636	0.00354319154	40.906	0.0078670264	0.79	22.22	62.78694111776	0.672935322546267	0.363239747686953	89.47044335	2	39.926	7.634036697	121.8254113	87.915	-0.000591739
265	47.25	185.975432661777	9.7299311	-1.59308282000032	5.09705435	4.76238442921	131.5476424374	1.22798871864	0.26490826385	-2.63583569488	-3.68742723352	0.31947112049	152.52367875	0.60438191506	0.63362325032	0.57200288665	1.10400377029	1.09731223926	4.05124896904	3.9729379733	4.11193330757	4.34534955789	159.1666667	168	234.145247821	670.84079722	43.565719	45.788336	0.14636000626	0.28408260969	2.41343226159213	5.37512796641094	7.94216991958708	-36.1330300216943	126.000617283943	113.008627841879	25.882	31.196	56.7567	21.9248	1.10487	21.433573	0.092405127	2.1	5.62	0.665	3.03	60.24297478	0.88395	0.00390239757	39.656	0.0078048451	0.84	53.84	43.9415089237	0.661819309121213	0.151635875555254	27.42857143	3	51.341	2.714395604	118.3253041	94.408	0.000371342
350	51.5	148.864601059621	10.3638586	0.491457559999679	4.15988593	4.77432813403	131.1430344569	1.2371002286	0.26640114974	-1.92858352797	-3.22241500686	0.3214924782	154.0842577539	0.60450085755	0.62776033393	0.57949254674	1.10046837369	1.0972046415	4.05608344775	3.99085084209	4.10613167852	4.3551333427	160.745178050727	165.476268799629	251.09330548	666.195492313	43.204527	45.281125	0.14373211581	0.28285449549	2.37045813755683	5.33450128415831	7.92696436275159	-36.0846637040498	131.57153198653	111.31083848024	25.772	31.4458	55.3770999999999	21.6746	1.08774	22.079416	0.089606216	2.05	5.83	0.68	3.04	62.48576022	0.905747	0.0037160262	39.53	0.0078097353	0.8425	53.76	27.72933229989	0.602765224507051	0.0436038187588021	13.92307692	2	41.102	6.32944837330689	134.769816216706	94.317	2.10216079394073e-05
351	65.33333333	122.749487480661	10.3104547	-3.35293147000011	5.82919692	4.77366811015	136.411526802	1.11914643452	0.26633334642	-1.88030255488	-3.87123089848	0.32130863296	156.370530288	0.6148514821	0.62834796605	0.59188033821	1.10245613698	1.0974779237	4.10630714866	4.01847951446	4.09968481508	4.33808584559	163.232608215271	167.042073325199	245.375903388	677.427719973	44.592873	47.000363	0.14756772469	0.28533380134	2.67160203825548	6.30878334900803	8.35666254888686	-36.5823097722237	124.167962962962	114.30650117317	24.03	37.3628	59.6132999999999	22.0087	0.63547	21.567411	0.091285479	2.09	5.73	0.7025	3.05	53.26948258	0.928953	0.00349724685	37.84	0.0077527055	0.8025	28.16	60.11214009997	0.765165668214654	0.353421213956795	80.05997001	2	40.287	6.43476676459503	126.484049910142	86.855	-9.79597852230576e-05
403	54.25	107.190917222222	10.8552076	0.172870329999893	6.32674878000001	4.75737395013	137.0610417694	1.15505696463	0.27100470618	-1.87187506717	-3.98537952295	0.32502677477	153.9760512529	0.61514826582	0.61586932665	0.5891377174	1.10402184419	1.09566060454	4.12153947922	4.04553433635	4.10881591854	4.35110439181	157.6	166.5	250.28623907	673.35592925	44.369877	45.864688	0.14816419301	0.28625785725	3.14194609329766	6.20723365487595	8.38561948911262	-36.200170847441	130.448518518514	110.744090508126	26.073	35.6008	59.1274	22.3111	0.73012	22.053758	0.089550882	2.14	5.8	0.65	3.05	54.60484438	0.93535	0.00358120746	41.464	0.007950647	0.8075	24.38	67.18975049506	0.655988287087745	0.292835438131313	100	2	45.313	7.94176191945915	125.585462939383	81.563	-0.000291265938
410	65.25	130.345580813995	10.3680339	-1.77634545000011	6.39444996	4.77041276238	139.901120559	1.1050100588	0.26758691559	-2.19760080295	-3.80877317002	0.32118769875	155.264482732	0.61241686794	0.61660501595	0.57838397974	1.10391944152	1.09657064418	4.10446205228	4.03255116322	4.10411470781	4.33514957045	162.559065689214	167.147968063129	240.370686841	660.535291139	44.120619	46.667555	0.14697574396	0.28566483448	2.79581273796316	6.31831611230223	8.36396597495976	-36.9744424629	110	104.6277	24.713	37.2517	60.5625	21.9159	0.57641	21.831928	0.088260118	2.06	5.77	0.7075	3.09	56.53461504	0.86688	0.00361705264	38.083	0.0078326847	0.8075	26.43	65.3969821810233	0.748328363481939	0.396505213956795	94.4683908	2	54.137	4.124888889	114.4366341	86.659	-0.000234308800571429
424	68.25	84.2235595238095	9.8520269	-0.37867177	6.68525716000001	4.75156832213	136.2577393749	1.11174052137	0.26839649369	-1.97591770749	-3.6406523957	0.32639458713	154.542583604	0.60753363909	0.63773314449	0.59705335628	1.10335844891	1.09679929117	4.1724004412	4.06446291946	4.10017990809	4.35230520951	164.506254897009	167.647888889917	309.052611318	693.29560438	44.267088	45.803293	0.14746991244	0.2913206668	2.78040007889399	6.70119301123037	8.41799756407883	-35.764669408139	124.794391534391	113.475519254062	26.625	36.0059	59.609	22.3964	0.96412	25.369727	0.09217748	2.13	5.95	0.635	3.06	51.10120134	1.323972	0.00405269749	41.77	0.0082371958	0.76	17.11	79.0636658620633	0.811661389414507	0.330341761575842	100	2	33.709	9.61276925732203	120.739393498733	80.476	-0.000148737078333333
